Time,accX,accY,accZ
0 sec,-10.736,-14.884,958.31
0.0033333 sec,-9.69959597768739,-13.8928064537584,967.710032657534
0.0066667 sec,-7.84439745111776,-14.9025257041435,957.201520519513
0.01 sec,-11.59,-13.176,963.068
0.013333 sec,-8.88546520904749,-14.772226221273,958.522740655318
0.016667 sec,-4.68236311197179,-14.2298997022711,968.611718372951
0.02 sec,-11.8371716286971,-13.8531653151956,952.367476382119
0.023333 sec,-5.95707435953363,-13.7010721857076,959.894482726142
0.026667 sec,-12.2367205498514,-15.8815462896285,959.171858115839
0.03 sec,-7.73243991184771,-12.2565957987119,964.984707695205
0.033333 sec,-6.67038828497119,-15.0699982967606,957.209308564779
0.036667 sec,-7.16930138878114,-13.6777069769266,967.088394650852
0.04 sec,-8.05335419840342,-14.8526031817991,959.692111116197
0.043333 sec,-5.51843295409365,-15.7935303365006,963.46740103367
0.046667 sec,-7.47587195860063,-14.9061530710552,965.893747499013
0.05 sec,-3.904,-14.03,964.654
0.053333 sec,-7.73930967203439,-16.853643129179,962.708799637893
0.056667 sec,-5.42155777156883,-13.3606703916632,963.719037039989
0.06 sec,-6.344,-14.152,961.97
0.063333 sec,-7.62692004778908,-14.2909922861949,962.991661129833
0.066667 sec,-8.09777728505949,-14.7204770794328,962.083263443616
0.07 sec,-3.94511710099537,-14.8592984196635,961.380356440846
0.073333 sec,-9.46208364388721,-14.5181847355574,965.81588859488
0.076667 sec,-5.37398675889685,-13.6761280902061,962.403051777237
0.08 sec,-9.54544756415786,-16.7272307649717,964.347399995032
0.083333 sec,-7.01919595741824,-14.5582792966952,961.817300050698
0.086667 sec,-9.08391193794642,-15.1170846655745,960.537741233447
0.09 sec,-8.62358877502366,-13.9525131810634,964.401347617603
0.093333 sec,-7.59661640764934,-14.5456098156139,965.224587012651
0.096667 sec,-7.95132153303958,-14.6889445690969,959.649081868192
0.1 sec,-8.296,-13.42,963.068
0.10333 sec,-6.05496808851449,-14.0828352188467,961.008406181737
0.10667 sec,-9.41446384439852,-15.359026676594,960.139072460319
0.11 sec,-8.662,-14.152,964.044
0.11333 sec,-7.70508010061742,-14.1028769243279,963.083485558311
0.11667 sec,-4.99700783252416,-16.0789736644513,962.698550228202
0.12 sec,-9.25756211604706,-16.8729863284638,963.020976303557
0.12333 sec,-6.85695143528803,-13.7036794288751,964.351911497103
0.12667 sec,-8.79397859452393,-11.8962277844086,961.676940378129
0.13 sec,-6.50790209566902,-16.6282696881031,963.408194176184
0.13333 sec,-7.05935556980928,-13.6617466397927,960.36133713683
0.13667 sec,-8.25664992313706,-13.9142923062629,963.714377011109
0.14 sec,-6.17057061958136,-15.2295094849213,962.735940139498
0.14333 sec,-7.49451404938833,-16.0902651859517,963.401082057241
0.14667 sec,-6.93488634284391,-14.7422844934543,961.395360427569
0.15 sec,-8.54,-15.128,962.824
0.15333 sec,-7.87658022846179,-14.2680078518798,962.591738706
0.15667 sec,-8.11945557789695,-15.9459018585893,963.831730367463
0.16 sec,-8.906,-15.128,962.092
0.16333 sec,-6.26652499215229,-15.1407815999852,962.998108096427
0.16667 sec,-10.2262553887719,-14.4972595916165,962.03721298971
0.17 sec,-7.27295985780544,-16.1032389530606,962.480355576508
0.17333 sec,-7.36380826631108,-13.9443770460819,963.368460455548
0.17667 sec,-8.44012041126613,-14.7540538828657,963.990139635481
0.18 sec,-8.49846660608194,-13.2227537089572,961.617308291425
0.18333 sec,-5.49665398838817,-12.6290473084095,965.356520656566
0.18667 sec,-8.95955526818945,-13.277956077109,956.740124554097
0.19 sec,-7.08971733886658,-14.6308257618947,963.033191431422
0.19333 sec,-7.61164655333667,-13.3911852884658,961.782466661373
0.19667 sec,-7.38825000258001,-15.638654381819,964.021344347994
0.2 sec,-7.442,-13.786,961.238
