Time,accX,accY,accZ
0 sec,-10.736,-14.884,958.31
0.002 sec,-6.344,-14.762,960.262
0.004 sec,-10.858,-13.786,968.558
0.006 sec,-8.784,-14.884,958.31
0.008 sec,-7.808,-14.152,959.774
0.01 sec,-11.59,-13.176,963.068
0.012 sec,-10.004,-14.884,959.774
0.015 sec,-7.076,-14.03,962.092
0.017 sec,-5.002,-14.152,968.192
0.019 sec,-11.712,-13.054,954.04
0.021 sec,-9.516,-14.762,954.04
0.023 sec,-5.612,-13.908,958.188
0.025 sec,-10.614,-13.908,966.972
0.027 sec,-11.59,-15.86,957.456
0.029 sec,-5.612,-12.444,958.554
0.031 sec,-10.37,-13.542,968.436
0.033 sec,-7.076,-15.616,958.066
0.035 sec,-6.954,-11.346,960.994
0.037 sec,-7.198,-14.274,967.338
0.039 sec,-7.808,-14.884,961.726
0.042 sec,-7.198,-15.372,960.628
0.044 sec,-5.246,-15.738,964.898
0.046 sec,-7.442,-14.762,966.606
0.048 sec,-5.856,-15.25,963.922
0.05 sec,-3.904,-14.03,964.654
0.052 sec,-8.54,-15.494,967.338
0.054 sec,-6.466,-16.714,960.628
0.056 sec,-4.636,-13.42,962.58
0.058 sec,-7.32,-14.396,964.41
0.06 sec,-6.344,-14.152,961.97
0.062 sec,-6.344,-14.03,961.726
0.064 sec,-8.174,-14.396,963.434
0.067 sec,-8.052,-14.884,961.848
0.069 sec,-6.71,-15.738,961.238
0.071 sec,-2.928,-13.786,962.58
0.073 sec,-9.394,-14.152,966.24
0.075 sec,-5.49,-15.738,961.36
0.077 sec,-5.856,-13.298,963.068
0.079 sec,-9.028,-14.396,965.508
0.081 sec,-9.028,-18.056,962.458
0.083 sec,-6.954,-14.884,961.36
0.085 sec,-8.662,-14.884,963.8
0.087 sec,-9.028,-15.006,960.14
0.089 sec,-8.662,-13.908,962.946
0.092 sec,-8.296,-14.64,965.386
0.094 sec,-7.442,-14.396,964.654
0.096 sec,-8.052,-14.396,960.872
0.098 sec,-7.686,-14.884,959.164
0.1 sec,-8.296,-13.42,963.068
0.102 sec,-6.466,-14.518,961.116
0.104 sec,-6.588,-13.908,961.116
0.106 sec,-9.516,-15.128,960.14
0.108 sec,-8.296,-15.006,961.36
0.11 sec,-8.662,-14.152,964.044
0.112 sec,-8.662,-15.86,961.848
0.114 sec,-6.954,-13.298,963.8
0.117 sec,-5.368,-16.47,962.824
0.119 sec,-9.394,-16.958,964.654
0.121 sec,-7.93,-16.226,961.482
0.123 sec,-6.588,-13.664,964.044
0.125 sec,-9.028,-14.396,963.678
0.127 sec,-8.418,-11.834,961.482
0.129 sec,-6.1,-16.104,962.58
0.131 sec,-7.198,-15.494,963.068
0.133 sec,-6.954,-13.298,960.018
0.135 sec,-8.174,-16.226,964.288
0.137 sec,-8.174,-13.542,963.19
0.139 sec,-7.198,-14.884,961.36
0.141 sec,-5.612,-15.25,964.288
0.144 sec,-7.564,-16.104,963.068
0.146 sec,-6.1,-15.006,962.702
0.148 sec,-9.272,-14.64,959.408
0.15 sec,-8.54,-15.128,962.824
0.152 sec,-8.174,-15.25,960.872
0.154 sec,-7.808,-14.152,963.8
0.156 sec,-8.174,-15.982,964.288
0.158 sec,-8.174,-15.128,962.58
0.16 sec,-8.906,-15.128,962.092
0.162 sec,-6.222,-15.128,965.508
0.164 sec,-7.076,-15.006,961.604
0.166 sec,-10.126,-14.274,961.97
0.169 sec,-7.93,-16.104,961.604
0.171 sec,-7.076,-15.616,963.556
0.173 sec,-7.32,-14.152,963.678
0.175 sec,-7.686,-13.664,962.214
0.177 sec,-8.54,-14.884,964.166
0.179 sec,-8.54,-14.03,962.214
0.181 sec,-7.808,-12.688,962.58
0.183 sec,-5.246,-12.688,965.996
0.185 sec,-8.662,-12.322,958.554
0.187 sec,-8.662,-13.542,957.456
0.189 sec,-6.832,-14.64,964.044
0.191 sec,-7.686,-14.274,960.75
0.194 sec,-7.442,-13.664,962.58
0.196 sec,-7.32,-15.616,963.556
0.198 sec,-7.442,-14.762,964.288
0.2 sec,-7.442,-13.786,961.238
0.202 sec,-7.93,-14.396,961.848
0.204 sec,-5.002,-14.396,966.24
0.206 sec,-8.906,-14.64,963.434
0.208 sec,-8.784,-16.104,959.652
0.21 sec,-5.49,-14.152,959.652
0.212 sec,-9.028,-14.64,966.24
0.214 sec,-11.224,-13.786,965.264
0.216 sec,-6.222,-13.908,958.798
0.219 sec,-7.442,-13.908,965.386
0.221 sec,-7.442,-14.64,961.36
0.223 sec,-7.808,-13.298,960.75
0.225 sec,-6.954,-13.298,964.166
0.227 sec,-8.052,-14.762,962.214
0.229 sec,-10.004,-15.372,958.676
0.231 sec,-6.71,-15.494,958.676
0.233 sec,-8.296,-14.152,965.264
0.235 sec,-11.834,-15.128,962.092
0.237 sec,-6.71,-13.786,958.066
0.239 sec,-7.198,-14.396,964.41
