Time,accX,accY,accZ
0 sec,-451.487568228028,-19.859218480355,672.49465113899
0.0033333 sec,-374.296,204.228,895.48
0.0066667 sec,-221.568650362712,-193.029204614034,844.025941188342
0.01 sec,1194.70422624386,68.3061120122933,1538.62805108735
0.013333 sec,213.058883551579,-233.443179441931,1108.74802157284
0.016667 sec,-952.442500375167,2.80874098437233,1093.6049544977
0.02 sec,-506.904125031978,300.280239394913,559.193249592603
0.023333 sec,-230.807413221246,147.463642981705,851.431753804348
0.026667 sec,-119.558225737842,3.6977630172244,762.139037753474
0.03 sec,637.412253456797,-112.153309534344,1676.45374548138
0.033333 sec,743.346,-314.394,1108.858
0.036667 sec,-891.939936804325,-285.762971741315,619.533440346707
0.04 sec,-532.89169600953,120.329852251383,496.126058396758
0.043333 sec,-658.109945774381,26.8415681406475,911.019596235056
0.046667 sec,-83.3101692347358,-231.678235293888,780.062509604798
0.05 sec,357.397189302429,163.897386694688,935.795425420736
0.053333 sec,815.873326001397,-114.091999103474,1777.79033962611
0.056667 sec,-491.578930207489,-267.177911543779,659.920705852046
0.06 sec,-547.940618384216,-128.437593533854,709.295524112556
0.063333 sec,-381.128,-142.862,1224.27
0.066667 sec,37.5810526910882,-141.359081337068,696.954878639543
0.07 sec,80.9765060102565,89.5241006036555,1177.97780731069
0.073333 sec,1042.49,-244.244,1275.388
0.076667 sec,-330.409283994355,287.676056817377,665.744573265637
0.08 sec,-751.377273085945,-80.1685132484862,971.853117708666
0.083333 sec,-377.759149389987,207.945102111409,765.568064416271
0.086667 sec,-441.414182668478,35.6254774174946,736.109018458464
0.09 sec,465.329853605518,-66.3213260716046,1058.45554277381
0.093333 sec,999.509258657818,-802.986710977407,1493.79368946301
0.096667 sec,-139.92368436751,-149.045393534899,1237.39862547734
0.1 sec,-809.249670824983,-22.6012826741709,763.303716319578
0.10333 sec,-351.482,-20.74,915.244
0.10667 sec,-392.949214717121,384.901249400275,631.745843509971
0.11 sec,264.34573660608,237.001897292222,955.125675472093
0.11333 sec,1114.958,-235.216,1521.096
0.11667 sec,994.656253537446,-286.614679468117,1421.83616787767
0.12 sec,-812.064475163577,-102.272013971825,654.926463539491
0.12333 sec,-715.987488474375,-339.722465787415,891.323012696021
0.12667 sec,-415.064506002912,-210.439962461206,696.046968247044
0.13 sec,-212.424696424666,176.735984423102,921.436179184486
0.13333 sec,962.752642646802,-3.7519104542268,1185.42509786113
0.13667 sec,1016.75050922148,-185.62543522578,1168.42482259906
0.14 sec,-518.992719840561,173.712396118226,702.994527883551
0.14333 sec,-602.076671755066,421.146520792071,634.579831694269
0.14667 sec,-340.765987534282,197.816186070122,664.34045026196
0.15 sec,-238.689168923262,183.667388972445,896.615281109589
0.15333 sec,463.844,103.7,1107.15
0.15667 sec,1368.95793609645,-362.586500062957,1228.82599841224
0.16 sec,113.364448092715,-90.5937509239954,911.894158208175
0.16333 sec,-927.696732944155,-46.2707527654898,453.364818966384
0.16667 sec,-496.828352245395,50.7794300459363,642.601400002804
0.17 sec,-131.634405065495,89.0908682445235,845.347860197862
0.17333 sec,559.555770964861,-38.9038577745755,751.48813552509
0.17667 sec,1277.64213084717,87.483336317215,1722.65576194859
0.18 sec,-292.641664647209,206.691229114158,806.311305600181
0.18333 sec,-710.04,17.69,398.574
0.18667 sec,-319.231076172664,109.018364143052,725.685338855085
0.19 sec,-182.139834843143,163.151010167507,838.049045299353
0.19333 sec,628.046844572303,-195.054007975523,1080.93585346861
0.19667 sec,1114.56170927452,-43.9662210207898,1456.6762009105
0.2 sec,34.9622642839179,372.457250644089,1018.35945553322
0.20333 sec,-729.316,-58.072,1118.496
0.20667 sec,-304.302890199571,224.993989943345,613.610697737704
0.21 sec,-370.350715742068,-72.8426262575765,875.589458924101
0.21333 sec,68.32,-303.048,1086.41
0.21667 sec,1284.4889105404,-174.619326132956,1176.41938144888
0.22 sec,701.891793037079,439.282118479888,924.660034370081
0.22333 sec,-801.888223113565,-75.0837154862889,1136.4013868013
0.22667 sec,-226.588040269947,132.046969262955,569.131692254411
0.23 sec,-438.966370049871,-140.36515689181,719.550341201459
0.23333 sec,-225.822,9.516,1005.28
0.23667 sec,1316.89256967332,-219.308935879217,1442.14379790981
0.24 sec,668.565172188851,-412.250164146875,970.189992764742
0.24333 sec,-883.402,68.076,1002.718
0.24667 sec,-406.227705811867,-98.6435402005667,460.002229856076
0.25 sec,-429.636930511167,-7.21189830781721,727.884915026026
0.25333 sec,-482.36264799276,-149.369465018629,564.998799536437
0.25667 sec,959.710128745863,-137.086902797679,991.773179264518
0.26 sec,1079.79006511785,-282.01786200583,1502.4456025869
0.26333 sec,-661.575125496207,156.013025970342,1129.04263091933
0.26667 sec,-480.099254707477,198.853882602283,148.689311007055
0.27 sec,-369.558974512741,334.295641731184,788.889340304154
0.27333 sec,-367.464,135.664,823.256
0.27667 sec,511.451618187332,-213.810286669272,934.133591256373
0.28 sec,1320.82769034508,-405.7147741582,1269.42884349389
0.28333 sec,-81.496,92.232,1296.372
0.28667 sec,-811.864499586978,113.340334791632,650.548168714758
0.29 sec,-427.709929201459,418.31288848792,421.565358334193
0.29333 sec,-420.626962589968,70.8548740955292,915.2990665201
0.29667 sec,352.926722294014,8.97405635793866,889.963324281772
0.3 sec,1319.07250832583,-244.560428508308,1462.05305982295
0.30333 sec,236.658835259952,-34.6518168323624,1074.87150209339
0.30667 sec,-883.418970806783,-199.957953802824,395.753494036149
0.31 sec,-313.244557700857,408.343626010147,410.315673903609
0.31333 sec,-587.552,23.546,922.442
0.31667 sec,467.898548171913,-189.010403547988,683.264889022918
0.32 sec,1231.427951067,137.043302880912,1598.69849788672
0.32333 sec,810.198518827992,47.2371541601563,1131.75227017686
0.32667 sec,-729.129070653109,-307.243452515467,820.900146895866
0.33 sec,-364.981961160717,429.789345976897,630.915256380845
0.33333 sec,-549.407035502347,246.516602634605,713.507442168166
0.33667 sec,-253.561262583051,-367.503600823971,870.765535449336
0.34 sec,1304.21339129415,110.186329039394,1293.35214366162
0.34333 sec,460.155834036632,-146.307511557508,1297.85902592632
0.34667 sec,-523.568387894697,-134.810640437869,880.334415240477
0.35 sec,-415.529549600006,-143.766638312348,586.517271527011
0.35333 sec,-445.91,-181.536,1001.742
0.35667 sec,-440.250371976411,148.490308576696,837.392243063237
0.36 sec,1227.07817415113,-325.144374173972,1163.27274108557
0.36333 sec,807.810946498838,-348.334019913746,1240.09267911221
0.36667 sec,-521.345239887965,256.82802038347,1449.07288039971
0.37 sec,-471.623025493601,-278.310414789753,697.560442954388
0.37333 sec,-489.032865425073,-61.5472066732245,774.321677968436
0.37667 sec,-437.949719592498,208.92945171661,727.809066672154
0.38 sec,730.662365009488,-111.04999984654,1014.212128594
0.38333 sec,1241.716,-597.19,1428.742
0.38667 sec,-43.4658554070666,-16.846291491316,1217.37339454617
