Time,accX,accY,accZ
0 sec,-434.808,-2.562,716.14
0.003 sec,-374.296,204.228,895.48
0.005 sec,-144.082,-4.758,714.554
0.007 sec,-144.082,-218.868,993.324
0.01 sec,1268.434,59.78,1520.364
0.012 sec,711.138,-253.76,1092.388
0.014 sec,-257.298,-121.39,1221.342
0.017 sec,-977.586,19.276,948.794
0.019 sec,-630.618,173.24,528.016
0.021 sec,-340.746,476.044,770.308
0.024 sec,-179.096,11.346,824.72
0.026 sec,-97.356,60.878,778.238
0.028 sec,-97.356,-357.582,911.828
0.03 sec,779.946,-74.542,1768.024
0.033 sec,743.346,-314.394,1108.858
0.035 sec,-219.6,73.932,986.37
0.037 sec,-1065.548,-453.23,428.708
0.04 sec,-464.942,197.518,586.088
0.042 sec,-519.598,186.05,1062.376
0.044 sec,-670.634,-135.176,689.91
0.047 sec,-12.322,-136.884,791.536
0.049 sec,-12.322,231.8,720.532
0.051 sec,1195.966,-112.972,1544.642
0.054 sec,282.308,-40.504,1503.772
0.056 sec,-413.824,-182.634,690.52
0.059 sec,-671.366,-506.422,906.948
0.061 sec,-308.416,540.338,402.844
0.063 sec,-381.128,-142.862,1224.27
0.066 sec,-8.296,-118.218,735.294
0.068 sec,127.124,-285.602,841.19
0.07 sec,127.124,132.126,1234.884
0.073 sec,1042.49,-244.244,1275.388
0.075 sec,374.906,295.24,868.518
0.077 sec,-607.438,176.29,655.384
0.08 sec,-682.468,-38.308,952.332
0.082 sec,-277.428,345.748,608.78
0.084 sec,-561.2,-12.932,973.316
0.087 sec,-239.852,104.554,668.072
0.089 sec,442.128,73.932,905.728
0.091 sec,442.128,-441.762,1340.048
0.094 sec,1049.688,-789.218,1431.792
0.096 sec,41.724,-282.552,1227.076
0.098 sec,-732.61,333.914,1272.094
0.101 sec,-640.378,-350.018,488.732
0.103 sec,-351.482,-20.74,915.244
0.106 sec,-394.914,388.57,666.242
0.108 sec,-217.526,297.436,651.358
0.11 sec,372.1,212.524,1030.29
0.113 sec,1114.958,-235.216,1521.096
0.115 sec,1239.032,-361.974,1485.472
0.118 sec,227.408,-129.93,1157.658
0.12 sec,-934.886,-138.592,599.874
0.122 sec,-837.896,-449.936,773.114
0.125 sec,-565.714,-25.742,874.496
0.127 sec,-355.996,-280.722,644.526
0.13 sec,-152.5,213.988,954.04
0.132 sec,538.996,77.348,1048.224
0.134 sec,1253.184,-74.664,1295.518
0.136 sec,1105.93,-202.52,1185.596
0.139 sec,-130.54,153.11,914.268
0.141 sec,-1047.37,191.662,350.506
0.144 sec,-307.562,459.452,786.412
0.146 sec,-339.038,219.234,647.088
0.148 sec,-247.172,208.986,907.07
0.151 sec,-139.934,151.28,853.634
0.153 sec,463.844,103.7,1107.15
0.155 sec,1230.37,-184.464,1370.304
0.158 sec,993.934,-359.534,967.46
0.16 sec,-91.256,-61.244,881.45
0.162 sec,-1003.206,-128.832,504.104
0.165 sec,-425.17,159.82,588.894
0.167 sec,-513.132,10.736,656.36
0.169 sec,-140.3,126.392,762.134
0.171 sec,-143.594,-55.388,941.962
0.174 sec,1012.722,7.686,898.53
0.176 sec,1350.662,60.634,1727.642
0.178 sec,511.302,241.926,1143.14
0.18 sec,-414.068,180.072,766.892
0.183 sec,-710.04,17.69,398.574
0.185 sec,-401.502,173.728,432.49
0.187 sec,-299.632,88.328,854.244
0.19 sec,-180.56,96.624,825.574
0.192 sec,50.752,-442.616,927.932
0.194 sec,1177.91,115.046,1256.6
0.196 sec,1177.91,-41.114,1465.22
0.199 sec,350.506,359.412,1098.488
0.201 sec,-548.878,214.598,982.71
0.203 sec,-729.316,-58.072,1118.496
0.206 sec,-308.172,277.306,612.806
0.208 sec,-398.574,-175.192,805.2
0.211 sec,-291.946,7.442,900.848
0.213 sec,68.32,-303.048,1086.41
0.215 sec,1218.536,7.564,1222.44
0.217 sec,1218.536,-216.672,1105.32
0.219 sec,1039.684,338.55,884.378
0.222 sec,-744.566,149.694,1207.19
0.224 sec,-592.554,-170.312,970.754
0.226 sec,-241.438,112.85,625.372
