Time,accX,accY,accZ
0 sec,-619.414593436596,448.394467390957,1390.72570091661
0.0033333 sec,-715.965060324985,-317.054502162526,699.611180118649
0.0066667 sec,-468.110838411756,-132.882689501719,949.21285151682
0.01 sec,-318.859358262718,-691.555009853768,771.743618446095
0.013333 sec,1027.26256383492,-261.271978985687,1530.01920319012
0.016667 sec,1175.28257553772,199.582537450444,929.685838801646
0.02 sec,-466.894,746.274,1161.196
0.023333 sec,-787.871056166337,170.956685072315,315.398795052143
0.026667 sec,-268.979815004399,123.079695539873,339.28094197068
0.03 sec,-464.23018855163,-2.22034959076356,1354.37607384361
0.033333 sec,408.306586814007,-293.820014786071,1267.91112335067
0.036667 sec,1288.55090372013,221.051357772899,1068.08665194499
0.04 sec,322.629069363778,-158.144590440433,1060.0312981463
0.043333 sec,-994.521242666192,-310.197059073702,-231.266319069721
0.046667 sec,-627.019818889745,58.7833778127125,492.662148915707
0.05 sec,-434.662596645205,352.344222404703,1085.40082670592
0.053333 sec,-250.650464993889,-401.088140780638,991.126720565428
0.056667 sec,1659.05849708787,63.5672077119917,1394.77072314574
0.06 sec,439.444,450.18,1144.604
0.063333 sec,-558.691523689182,515.68359429715,750.96770414662
0.066667 sec,-436.287777186755,112.491718974125,133.913213164691
0.07 sec,-332.201975103007,276.4595090552,1384.70841034817
0.073333 sec,-18.9667877963772,-428.81687478688,1056.30336991938
0.076667 sec,1085.75048142381,-673.425797503085,1257.26435089773
0.08 sec,1323.03356709356,-81.7022414458714,1229.52662280866
0.083333 sec,-604.768931646846,-125.288423545517,675.163267324054
0.086667 sec,-474.132147613304,430.112251450468,371.217933612733
0.09 sec,-518.012,300.12,986.37
0.093333 sec,-310.583362677909,489.177618692466,868.719799895169
0.096667 sec,895.733925351808,-33.9617903091369,846.652809819769
0.1 sec,1455.826,-71.614,1608.326
0.10333 sec,-330.352602051898,-226.071189882305,983.96314913233
0.10667 sec,-461.974880281835,38.1437478494005,437.4331929046
0.11 sec,-444.630482344445,-56.6481471322682,860.141561165698
0.11333 sec,-154.26043086276,-148.804445846481,799.153307692573
0.11667 sec,269.671554652466,-31.0322526869458,903.259848515688
0.12 sec,1345.66,-174.582,1644.804
0.12333 sec,508.780035870636,83.2249567527815,1378.23768589244
0.12667 sec,-449.341943031051,-68.476740103289,172.340506631449
0.13 sec,-442.006,90.89,813.13
0.13333 sec,-460.650861785456,-38.8652983056932,896.896211415805
0.13667 sec,-98.9509096217208,-300.854328665551,509.569053806031
0.14 sec,1619.37206268706,-138.287213867039,1419.6895724863
0.14333 sec,681.697190473286,-159.631722333814,1145.04160086965
0.14667 sec,-548.428675212137,-14.5827450020639,925.402684267643
0.15 sec,-476.216096372272,-128.933805443487,623.910346644808
0.15333 sec,-417.923385576841,342.100721082347,925.256044817233
0.15667 sec,-46.6023185524409,125.077149448924,447.79815195019
0.16 sec,899.018,-55.022,1145.946
0.16333 sec,1413.81018948521,42.5973707014269,1636.90189411799
0.16667 sec,-223.711990784252,-428.680104476146,898.342903271526
0.17 sec,-541.436,329.034,815.814
0.17333 sec,-640.366194656844,-296.068994303261,862.34454541321
0.17667 sec,-223.871916385192,-114.906626746649,731.745535319147
0.18 sec,554.977127577719,14.8132160266942,1113.73312354414
0.18333 sec,1494.88056992316,-94.7966722886438,1842.67749722643
0.18667 sec,-92.9010724599735,-221.556663533902,1208.12853889575
0.19 sec,-627.763800069655,-57.6396921650749,705.269695744129
0.19333 sec,-372.761152580154,-629.235805599709,757.275983227381
0.19667 sec,-470.763567882048,-89.3110840574048,237.926589307288
0.2 sec,-12.81,134.444,989.054
0.20333 sec,1315.02429976142,-137.454389175374,1646.49580336785
0.20667 sec,740.699656199233,-123.536856263811,1059.94149228883
0.21 sec,-839.482,281.21,1422.276
0.21333 sec,-222.148601771034,-388.726497277254,437.68560804736
0.21667 sec,-442.937459717619,-90.0852670551186,592.273726131104
0.22 sec,-306.300592496112,-30.8160034449319,754.87848694183
0.22333 sec,786.596863063532,233.780801423155,1395.4409377768
0.22667 sec,1331.11322405861,50.5537075804024,853.255978709618
0.23 sec,-1178.24001096136,118.168283848865,786.937189516916
0.23333 sec,-229.231257728127,-110.228537753611,593.332696615155
0.23667 sec,-302.806767629911,-226.297296400229,475.026459515443
0.24 sec,-292.337408855691,280.566227568682,364.611350564933
0.24333 sec,-105.202826712284,23.0929391674379,1586.19416361634
0.24667 sec,1035.9625210786,-130.360957673255,1375.18661364811
0.25 sec,-494.344,61.244,862.906
0.25333 sec,-737.287462208986,-418.043932255739,824.251034511305
0.25667 sec,-349.583201155769,-153.606100140979,389.906991686647
0.26 sec,-599.386,206.668,986.004
0.26333 sec,-125.713560373053,-88.5906213111863,853.126332709234
0.26667 sec,1536.437921498,-202.091117594445,1226.31242892052
0.27 sec,-304.131657592457,264.182732361936,1291.11804934563
0.27333 sec,-1005.27204487253,-407.377239182776,1102.19578813377
0.27667 sec,-100.342865582975,154.919825720113,240.332077480472
0.28 sec,-642.277831596464,58.7404703650282,830.656832321038
0.28333 sec,-177.790468611288,-294.117673661151,1041.60586423983
0.28667 sec,1599.29348023666,-353.051361934999,1206.33673118845
0.29 sec,430.05,517.158,736.392
0.29333 sec,-889.668167149403,49.4342266970259,844.633679918648
0.29667 sec,-289.317080012061,114.147006237551,382.954834561177
