Time,accX,accY,accZ
0 sec,-857.538,172.386,1493.402
0.003 sec,-605.242,-327.082,552.05
0.005 sec,-434.32,-108.092,852.78
0.007 sec,-554.612,-349.408,960.262
0.01 sec,2.684,-756.522,848.632
0.012 sec,894.504,-409.432,1467.782
0.014 sec,1412.516,418.826,1439.478
0.017 sec,599.996,64.416,787.022
0.019 sec,-466.894,746.274,1161.196
0.021 sec,-837.896,474.824,331.108
0.024 sec,-537.532,18.91,553.758
0.026 sec,-263.032,138.104,355.02
0.028 sec,-507.154,56.608,1116.91
0.031 sec,6.832,-164.456,1345.294
0.033 sec,631.106,-234.362,1269.41
0.035 sec,1238.91,306.952,1260.016
0.038 sec,771.772,-410.53,613.294
0.04 sec,-181.78,106.628,1280.39
0.042 sec,-960.872,-266.814,-82.228
0.045 sec,-657.336,-30.134,263.154
0.047 sec,-625.982,201.788,830.332
0.05 sec,-406.626,221.552,1119.106
0.052 sec,-381.494,-378.322,1026.63
0.054 sec,842.166,-167.872,944.768
0.057 sec,1633.824,244.488,1627.968
0.059 sec,439.444,450.18,1144.604
0.061 sec,-461.77,140.3,781.776
0.064 sec,-441.152,833.504,563.152
0.066 sec,-441.152,11.59,154.696
0.068 sec,-400.77,252.54,1126.67
0.071 sec,-156.526,-123.464,1231.712
0.073 sec,114.558,-532.164,1025.288
0.075 sec,840.092,-636.84,1190.598
0.078 sec,1496.696,-484.828,1317.112
0.08 sec,862.296,204.472,1082.872
0.082 sec,-483.974,-105.774,725.168
0.085 sec,-508.008,344.772,412.238
0.087 sec,-508.008,436.76,438.834
0.089 sec,-518.012,300.12,986.37
0.092 sec,-317.078,539.606,934.276
0.094 sec,-72.834,81.74,624.762
0.096 sec,1092.144,-38.918,929.762
0.099 sec,1455.826,-71.614,1608.326
0.101 sec,352.458,30.378,1472.54
0.103 sec,-532.774,-322.08,749.324
0.106 sec,-433.222,69.784,418.826
0.108 sec,-433.222,-35.868,468.846
0.11 sec,-406.504,-54.9,1201.212
0.113 sec,-117.852,-154.208,656.97
0.115 sec,17.324,-53.192,787.388
0.117 sec,917.928,-65.514,1169.37
0.119 sec,1345.66,-174.582,1644.804
0.122 sec,655.018,149.206,1545.74
0.124 sec,-183.122,-340.624,412.36
0.127 sec,-442.006,256.566,400.404
0.129 sec,-442.006,90.89,813.13
0.131 sec,-621.346,-177.266,918.538
0.134 sec,-206.302,60.39,746.03
0.136 sec,6.466,-346.48,503.494
0.138 sec,1258.308,-183.366,977.952
0.141 sec,1367.986,-186.782,1766.316
0.143 sec,308.782,-142.496,846.436
0.145 sec,-458.232,-90.036,837.652
0.148 sec,-493.978,95.892,882.67
0.15 sec,-493.978,-267.18,488.488
0.152 sec,-465.552,253.272,912.316
0.155 sec,1.708,329.766,443.226
0.157 sec,-45.628,-220.454,670.756
0.159 sec,899.018,-55.022,1145.946
0.162 sec,1482.3,-3.294,1675.182
0.164 sec,715.53,139.812,1215.852
0.166 sec,-361.852,-478.85,879.132
0.169 sec,-541.436,329.034,815.814
0.171 sec,-541.436,-230.214,325.252
0.173 sec,-642.33,-238.266,1136.674
0.176 sec,-190.686,-104.432,651.114
0.178 sec,32.696,-23.668,721.752
0.18 sec,1148.996,34.404,1540.982
0.183 sec,1301.618,-204.716,1729.228
0.185 sec,241.56,-417.606,1217.072
0.187 sec,-546.072,242.17,1241.838
0.19 sec,-523.746,-386.618,530.456
0.192 sec,-367.586,-645.746,764.452
0.195 sec,-511.058,-192.516,249.49
0.197 sec,-317.444,64.416,431.514
0.199 sec,-12.81,134.444,989.054
0.202 sec,1192.916,-168.848,1690.554
0.204 sec,1515.728,64.66,1193.648
0.206 sec,521.062,-136.274,1101.294
0.209 sec,-839.482,281.21,1422.276
0.211 sec,-352.58,-215.696,434.32
0.214 sec,-348.066,-297.192,785.07
0.216 sec,-439.2,-63.928,523.624
0.218 sec,-319.518,-52.46,432.49
0.221 sec,30.988,122.61,1458.876
0.223 sec,1200.358,203.862,1265.628
0.225 sec,1662.372,-75.884,931.836
0.228 sec,-680.028,525.21,748.47
0.23 sec,-1217.194,-317.444,800.32
0.232 sec,-344.406,-163.114,622.688
0.235 sec,-185.562,-128.344,485.682
0.237 sec,-461.526,-288.774,423.706
0.24 sec,-271.206,475.312,611.952
0.242 sec,-270.352,110.654,1549.278
0.244 sec,1019.188,-246.806,1344.074
0.247 sec,436.028,68.564,1356.152
0.249 sec,-494.344,61.244,862.906
0.251 sec,-935.13,-481.534,900.238
0.254 sec,-359.9,-136.762,556.076
0.256 sec,-381.738,-154.818,417.362
0.259 sec,-599.386,206.668,986.004
0.261 sec,-339.038,206.668,517.28
0.263 sec,111.996,-229.36,1081.652
0.266 sec,1532.442,-150.304,1234.64
0.268 sec,314.15,192.76,1380.796
0.27 sec,-727.242,175.558,1178.398
0.273 sec,-861.808,-395.036,933.178
0.275 sec,-153.964,182.756,166.53
0.277 sec,-280.234,-94.794,687.47
0.28 sec,-725.046,88.328,835.456
0.282 sec,-355.508,-286.456,1043.222
0.285 sec,1480.714,-151.768,1011.624
0.287 sec,1375.306,-567.91,1462.17
0.289 sec,430.05,517.158,736.392
0.292 sec,-868.884,79.056,861.32
0.294 sec,-636.23,148.718,532.286
0.296 sec,-259.006,117.364,421.266
0.299 sec,-611.83,431.88,1238.91
0.301 sec,-794.342,194.956,896.334
0.303 sec,-402.112,-244.244,451.888
0.306 sec,1528.172,-179.096,1197.308
0.308 sec,1353.224,-490.928,1425.082
0.311 sec,45.872,-126.27,1505.602
0.313 sec,-714.31,449.814,1151.436
0.315 sec,-681.004,76.006,476.288
0.318 sec,-379.786,96.014,588.528
0.32 sec,-379.786,161.284,1123.62
0.322 sec,-511.302,133.712,598.532
0.325 sec,231.434,49.898,838.384
0.327 sec,1532.076,-94.306,1550.132
0.329 sec,1483.886,-337.574,1489.986
0.332 sec,188.856,10.004,1133.868
0.334 sec,-621.59,-22.936,576.45
0.336 sec,-736.514,-126.026,816.18
0.339 sec,-707.6,-243.268,511.668
0.341 sec,-707.6,-127.734,1095.194
0.343 sec,-802.15,13.664,749.69
0.346 sec,156.16,-205.082,801.906
0.348 sec,1448.018,26.474,1429.718
0.35 sec,1106.296,-281.942,1338.584
0.353 sec,73.81,132.248,1133.258
0.355 sec,-611.586,433.344,1374.574
0.357 sec,-617.198,93.696,710.284
0.36 sec,-387.838,-24.156,709.308
0.362 sec,-387.838,439.322,1404.83
0.364 sec,-349.652,-265.35,342.576
0.367 sec,157.868,-96.258,672.83
0.369 sec,1340.414,-313.662,1732.034
0.372 sec,1478.64,-453.962,1485.228
0.374 sec,337.208,-104.554,1052.25
0.376 sec,-591.212,151.036,653.676
0.379 sec,-527.894,-344.406,901.336
0.381 sec,-642.94,-325.496,1292.102
0.384 sec,-765.794,6.588,1187.67
0.386 sec,-340.38,281.21,643.794
0.388 sec,215.208,-17.812,935.618
0.391 sec,1331.996,44.53,1166.442
0.393 sec,1287.71,173.484,1166.442
0.395 sec,177.022,177.266,1295.762
0.397 sec,-837.164,553.148,574.62
0.4 sec,-443.226,186.294,821.67
0.402 sec,-350.628,-8.174,778.726
0.404 sec,-350.628,112.362,309.636
0.407 sec,-110.898,383.568,614.88
0.409 sec,243.634,-128.954,920.246
0.411 sec,1323.7,-120.536,2005.558
0.414 sec,1466.562,-261.446,1032.73
0.416 sec,23.668,-1.464,898.164
0.418 sec,-820.938,0.854,838.872
0.42 sec,-864.37,-339.038,860.466
0.423 sec,-453.84,-35.624,359.29
0.425 sec,-453.84,202.154,475.8
0.427 sec,-582.55,388.57,690.764
0.43 sec,131.638,352.702,1291.858
0.432 sec,1130.208,-415.044,1658.712
0.435 sec,1383.236,-699.548,995.886
0.437 sec,177.998,94.916,1348.832
0.439 sec,-1055.788,95.038,620.004
0.441 sec,-909.51,-4.636,808.982
0.444 sec,-284.992,107.726,237.656
0.446 sec,-284.992,418.46,650.138
0.448 sec,-277.428,-174.338,414.678
0.451 sec,21.96,-7.686,871.812
0.453 sec,1573.678,-91.012,1468.88
0.455 sec,1464.122,-729.072,1252.086
0.458 sec,213.378,-144.814,980.392
0.46 sec,-1011.624,30.744,693.57
0.462 sec,-820.206,13.176,465.064
0.465 sec,-566.446,-507.886,496.296
