Time,accX,accY,accZ
0 sec,-497.076843867604,314.087962830699,260.164857493431
0.0033333 sec,22.4479053934082,-177.445615629326,1232.87780206009
0.0066667 sec,1127.50881800755,-420.95747405833,1193.45474728826
0.01 sec,1036.756,-330.254,1622.234
0.013333 sec,-722.339488241976,-265.348391593304,1001.51771566189
0.016667 sec,-510.798179282644,-198.946616757488,429.03444171462
0.02 sec,-335.64148310466,12.3892760433043,792.859043624789
0.023333 sec,-394.16266183778,232.840056751694,418.065718846856
0.026667 sec,837.657478755827,55.2510643645546,1286.01252409979
0.03 sec,1099.952,291.092,1442.04
0.033333 sec,255.566829467004,-398.462233651122,931.573782864621
0.036667 sec,-537.719674369746,420.233197803657,416.427687059638
0.04 sec,-684.430071982789,-551.862391431035,604.653219461486
0.043333 sec,-561.125548573978,-180.312592110267,807.754447068971
0.046667 sec,214.25936281736,-177.730566435138,1258.1753119023
0.05 sec,952.425235868999,46.7301583853884,1396.11388247354
0.053333 sec,-408.829592227351,104.666467600274,1438.2612704068
0.056667 sec,-292.893388462168,510.172304427918,792.918583169087
0.06 sec,-421.388,-265.35,118.706
0.063333 sec,-325.332823864932,196.618165927034,1190.84654179454
0.066667 sec,97.2910734708648,-340.303043083999,432.545621258224
0.07 sec,1108.86929826006,-70.7122334840077,1580.19045837548
0.073333 sec,405.755668034054,192.506359812681,1121.27095041963
0.076667 sec,-740.475118652463,-242.890304073406,378.721532923175
0.08 sec,-313.174,-146.522,-37.21
0.083333 sec,-682.317417578519,22.7323779721297,1161.79859930101
0.086667 sec,23.191488988844,-172.844831699222,574.656254109326
0.09 sec,1096.94767316877,-228.822073900734,1379.63936076249
0.093333 sec,535.58822147828,262.355033950986,1337.8960013111
0.096667 sec,-656.764570102717,-72.2162771351473,1026.63853176814
0.1 sec,-197.03,74.542,106.384
0.10333 sec,-375.216134574976,162.494549874834,1072.78425051483
0.10667 sec,-174.778421088258,-217.018873853608,778.937221797166
0.11 sec,516.652208439757,-279.840068915949,1009.47122805083
0.11333 sec,651.474283654472,-416.676231508027,1042.00961249787
0.11667 sec,-628.434045373877,17.7732915503317,946.997538773143
0.12 sec,-620.492,34.892,445.666
0.12333 sec,-794.222380664017,175.614746068064,790.670826059334
0.12667 sec,-435.849105073405,-80.249905256102,18.8277450722302
0.13 sec,865.190458623402,73.8224110035405,1092.96182381797
0.13333 sec,1200.42161822497,-340.046687808183,1273.71848745985
0.13667 sec,-342.915702455173,118.370987398293,1215.60405985601
0.14 sec,-537.166,195.566,721.142
0.14333 sec,-246.025524579899,33.1670737722332,849.078140460529
0.14667 sec,-481.697313011933,-129.575801837588,496.530239496095
0.15 sec,154.381360010378,154.12189761149,1435.58864054436
0.15333 sec,1253.15280026695,-345.949958805968,1253.85495619196
0.15667 sec,-277.096003055837,519.631825171846,1057.37566818461
0.16 sec,-1082.628,-380.396,254.614
0.16333 sec,-544.227062886818,364.732774027034,1072.03299436221
0.16667 sec,-713.244526159862,-163.92718039796,590.943159007184
0.17 sec,-176.046,206.546,993.202
0.17333 sec,1100.97065301988,-600.559979256992,1218.10148999182
0.17667 sec,168.922536471968,-33.3424970050203,1530.37770260673
0.18 sec,-888.190586486165,-305.539045712459,305.166097109793
0.18333 sec,-368.446302451262,356.712386813127,868.025278725855
