Time,accX,accY,accZ
0 sec,-535.824,260.348,607.316
0.002 sec,-103.578,-89.304,1303.204
0.004 sec,688.568,-523.99,610.854
0.006 sec,1187.914,-393.45,1357.982
0.009 sec,1036.756,-330.254,1622.234
0.011 sec,-121.634,-41.724,1070.55
0.013 sec,-858.636,-387.228,975.024
0.016 sec,-454.694,-162.626,374.174
0.018 sec,-345.626,-72.102,467.382
0.02 sec,-361.242,137.25,967.094
0.022 sec,-435.052,271.938,446.398
0.025 sec,535.702,-102.48,1105.076
0.027 sec,1227.808,446.032,1492.914
0.029 sec,1099.952,291.092,1442.04
0.031 sec,1099.952,-193.126,1081.042
0.034 sec,-770.674,-196.664,748.836
0.036 sec,-465.064,439.322,355.63
0.038 sec,-556.32,-353.19,317.322
0.041 sec,-738.1,-342.698,1070.794
0.043 sec,-457.5,-165.432,682.956
0.045 sec,-71.126,-258.152,1017.114
0.048 sec,1103.368,172.264,1681.526
0.05 sec,524.356,-95.282,1201.212
0.052 sec,-350.14,69.784,1529.88
0.054 sec,-372.71,264.496,622.688
0.057 sec,-284.504,424.682,903.044
0.059 sec,-421.388,-265.35,118.706
0.061 sec,-692.228,3.904,877.18
0.063 sec,-139.69,152.256,1083.238
0.065 sec,-31.11,-341.478,314.76
0.068 sec,888.892,11.956,1585.024
0.07 sec,1147.776,-124.074,1366.766
0.072 sec,581.574,209.23,1154.486
0.074 sec,-479.094,-167.994,841.922
0.077 sec,-568.764,-146.522,15.372
0.079 sec,-313.174,-146.522,-37.21
0.081 sec,-741.516,-267.302,913.658
0.084 sec,-314.394,255.102,918.416
0.086 sec,123.586,-229.97,586.454
0.088 sec,915.61,-117.364,1214.388
0.09 sec,1086.166,-315.004,1406.538
0.093 sec,248.758,379.42,1254.77
0.095 sec,-602.924,98.576,980.514
0.097 sec,-473.238,-248.636,960.384
0.099 sec,-197.03,74.542,106.384
0.101 sec,-276.574,140.3,943.182
0.104 sec,-384.056,66.49,792.39
0.106 sec,-112.85,-224.114,792.39
0.108 sec,312.808,-17.568,875.716
0.11 sec,681.492,-606.95,1118.13
0.113 sec,429.44,-198.25,1065.182
0.115 sec,-538.752,202.764,1169.98
0.117 sec,-548.512,-398.574,386.008
0.119 sec,-620.492,34.892,445.666
0.122 sec,-739.808,149.45,883.28
0.124 sec,-966.606,255.834,94.428
0.126 sec,-278.526,-100.284,141.276
0.128 sec,591.7,212.646,1184.254
0.13 sec,1054.69,-193.736,849.486
0.133 sec,1052.006,-251.93,1414.346
0.135 sec,29.768,100.284,1316.99
0.137 sec,-812.398,75.396,989.908
0.139 sec,-537.166,195.566,721.142
0.142 sec,-186.172,103.456,893.406
0.144 sec,-605.608,-277.062,504.592
0.146 sec,-429.318,-97.722,533.994
0.148 sec,-119.194,-32.818,1000.644
0.15 sec,517.524,241.682,1733.986
0.153 sec,1229.516,-318.054,1097.878
0.155 sec,226.554,522.404,1089.338
0.157 sec,-1085.19,65.148,796.416
0.159 sec,-1082.628,-380.396,254.614
0.162 sec,-516.67,386.496,989.176
0.164 sec,-809.958,-64.05,1111.298
0.166 sec,-667.828,-125.172,525.21
0.169 sec,-176.046,206.546,993.202
0.171 sec,539.484,-438.956,1090.192
0.173 sec,1220.61,-545.218,1339.072
0.176 sec,-19.642,-24.766,1396.046
0.178 sec,-804.712,-297.802,217.526
0.18 sec,-804.712,-150.426,689.422
0.183 sec,-272.182,313.906,643.062
0.185 sec,-203.496,-237.534,-4.392
0.187 sec,-134.078,115.168,1107.638
0.189 sec,246.928,-198.982,684.176
0.191 sec,406.26,-271.694,1128.012
0.194 sec,1273.436,151.28,1572.946
0.196 sec,1075.552,51.85,974.902
0.198 sec,-161.406,-444.08,923.418
0.2 sec,-836.798,-330.498,931.592
0.203 sec,-439.932,-331.84,824.842
0.205 sec,-461.16,-331.84,688.202
0.208 sec,-448.716,106.506,453.474
0.21 sec,-32.818,-165.676,630.984
0.212 sec,1019.92,142.618,1017.48
0.214 sec,1206.458,-262.91,1595.882
0.216 sec,492.88,328.668,1489.864
0.219 sec,-621.346,201.422,653.676
0.221 sec,-683.078,342.454,1318.454
0.223 sec,-324.764,287.798,743.712
0.226 sec,-387.594,419.07,526.43
0.228 sec,-243.512,416.752,620.492
0.23 sec,-290.848,-225.7,775.188
0.232 sec,30.012,-14.884,1338.828
0.235 sec,1323.456,-174.582,1420.202
0.237 sec,490.318,-475.312,888.038
0.239 sec,-468.114,155.916,1188.768
0.242 sec,-757.742,-131.15,857.294
0.244 sec,-492.148,-135.176,534.482
0.246 sec,-505.69,-239.608,498.37
0.249 sec,-547.658,36.478,595.482
0.251 sec,-387.716,134.078,1022.726
0.253 sec,171.044,214.476,1022.726
0.255 sec,888.282,280.966,938.18
0.257 sec,993.324,-348.798,1269.776
0.26 sec,-573.522,204.472,1489.01
0.262 sec,-623.298,-673.074,519.232
0.264 sec,-623.298,-3.538,-160.674
0.267 sec,-255.834,17.08,588.162
0.269 sec,-458.842,-112.85,1188.036
0.271 sec,-147.864,283.772,822.158
0.273 sec,219.966,-89.06,1078.846
0.275 sec,981.856,91.866,1659.078
0.278 sec,1256.844,-427.244,1448.628
0.28 sec,410.774,136.762,1094.95
0.282 sec,-916.83,22.082,382.836
0.284 sec,-1035.292,282.308,396.012
0.287 sec,-310.124,477.874,713.09
0.289 sec,-570.96,228.018,759.084
0.291 sec,-562.786,237.534,959.774
0.293 sec,-107.36,-7.808,854
0.296 sec,1085.312,-129.686,1220.366
0.298 sec,1277.828,-262.3,1403.976
0.3 sec,-10.858,-60.756,1154.12
0.302 sec,-859.368,-179.218,1114.714
0.305 sec,-398.818,177.266,757.01
0.307 sec,-245.83,-116.51,675.148
0.309 sec,-481.168,-213.012,523.868
0.312 sec,-575.962,183.366,835.334
0.314 sec,-72.346,-445.056,1260.382
0.316 sec,394.06,146.766,1197.308
0.318 sec,1260.748,211.304,1501.454
0.321 sec,25.742,-108.702,1143.14
0.323 sec,-1064.694,-133.224,542.656
0.325 sec,-623.42,10.858,464.454
0.327 sec,-623.42,37.21,668.316
0.329 sec,-481.29,-359.168,538.508
0.332 sec,-668.926,106.384,1141.92
0.334 sec,-163.968,-310.612,218.624
0.336 sec,758.474,-251.93,1299.788
0.339 sec,1248.304,37.454,2068.266
0.341 sec,856.806,-429.562,1211.216
0.343 sec,-228.75,-181.78,1449.482
0.346 sec,-426.268,89.426,739.076
0.348 sec,-426.268,217.16,406.382
0.35 sec,-366.366,-131.394,636.718
0.352 sec,-483.852,37.332,758.352
0.354 sec,-281.82,5.368,488.61
0.357 sec,836.432,228.872,1193.526
0.359 sec,1094.584,58.438,1335.534
0.361 sec,671.854,-69.052,1280.756
0.363 sec,-413.336,-249.002,1134.6
0.365 sec,-665.022,78.69,941.962
0.368 sec,-273.89,-3.782,399.184
0.37 sec,-572.912,-232.166,431.27
0.372 sec,-559.614,-0.732,941.718
0.374 sec,-281.332,-359.9,928.176
0.377 sec,81.618,-91.134,1245.254
0.379 sec,991.494,181.292,1214.022
0.381 sec,952.332,-133.102,1191.574
0.383 sec,453.84,199.958,1139.236
0.385 sec,-613.172,-50.142,789.34
0.388 sec,-328.668,204.838,219.356
0.39 sec,-328.668,-271.206,513.254
0.392 sec,-394.426,37.698,1251.72
0.394 sec,-495.442,333.06,763.598
0.397 sec,229.848,109.312,708.454
0.399 sec,763.964,219.844,1479.616
0.401 sec,1030.534,-258.884,1271.606
0.403 sec,404.918,263.398,1374.086
0.406 sec,-476.166,-91.866,891.942
0.408 sec,-563.762,-397.842,447.984
0.41 sec,-472.994,102.236,285.48
0.412 sec,-622.322,90.646,600.606
0.415 sec,-416.386,-237.412,401.38
0.417 sec,-249.978,-237.412,846.436
0.419 sec,468.236,-23.18,1247.206
0.422 sec,1078.236,-97.6,1417.274
0.424 sec,199.958,58.194,1378.356
0.426 sec,-757.254,1.098,1353.468
0.428 sec,-491.416,-507.764,224.846
0.43 sec,-357.948,17.08,657.58
0.433 sec,-542.778,160.918,1039.562
0.435 sec,-511.79,5.002,691.374
0.437 sec,-166.774,9.638,646.722
0.439 sec,618.174,-68.564,885.11
0.441 sec,841.068,-549.61,1320.65
0.444 sec,1238.91,-274.744,1590.148
0.446 sec,204.716,87.84,1278.316
0.448 sec,-972.218,-50.02,873.154
0.45 sec,-789.34,-585.234,769.454
0.453 sec,-776.774,120.536,882.182
0.455 sec,-765.55,-66.612,612.928
0.457 sec,-513.376,216.306,608.17
0.459 sec,-156.404,-105.286,893.894
0.462 sec,959.53,-360.022,1536.102
0.464 sec,932.324,-191.296,1272.338
0.466 sec,45.262,-48.19,1106.906
0.468 sec,-905.85,-268.766,250.1
0.471 sec,-630.862,-468.48,736.27
0.473 sec,-367.952,232.41,516.914
0.475 sec,-394.792,47.214,436.394
0.478 sec,-390.766,40.016,677.222
0.48 sec,-32.574,40.016,1149.606
0.482 sec,467.504,-281.088,1580.022
0.484 sec,1180.106,-390.4,1219.634
0.486 sec,1199.016,-71.614,1033.584
0.489 sec,-981.856,-273.158,2.806
0.491 sec,-646.844,444.324,216.794
0.493 sec,-388.57,-182.634,701.744
0.495 sec,-607.194,-574.132,468.846
0.498 sec,-441.518,31.232,745.908
0.5 sec,-34.892,-150.304,838.384
0.502 sec,814.35,-41.236,947.696
0.504 sec,1188.158,-140.91,1087.386
0.507 sec,740.784,328.18,1331.874
0.509 sec,-458.354,15.86,865.468
0.511 sec,-626.47,-36.112,1292.956
0.513 sec,-448.838,499.956,448.838
0.516 sec,-482.388,75.64,535.58
0.518 sec,-482.388,-350.384,533.262
0.52 sec,-400.16,18.056,977.098
0.522 sec,71.736,18.056,917.562
0.524 sec,921.344,-383.202,1698.362
0.527 sec,415.41,-182.634,1110.322
0.529 sec,-462.868,-33.672,833.138
0.531 sec,-492.026,560.712,1360.788
0.533 sec,-461.77,-108.214,1062.132
0.536 sec,-434.076,-127.734,477.63
0.538 sec,-543.876,240.706,624.518
0.54 sec,-306.83,75.396,831.674
0.542 sec,-33.428,101.016,830.942
0.545 sec,1203.53,222.772,1043.222
0.547 sec,1073.6,230.946,965.142
0.549 sec,227.896,247.05,965.142
0.551 sec,-512.644,356.24,1011.746
0.553 sec,-653.676,-219.234,773.48
0.556 sec,-363.682,-264.862,489.342
0.558 sec,-354.41,-304.634,635.864
0.56 sec,-354.41,-114.314,729.316
0.563 sec,199.104,-70.516,953.674
0.565 sec,1013.088,-512.034,1642.242
0.567 sec,1287.222,-135.298,1163.026
0.569 sec,317.078,86.986,1108.126
0.572 sec,-752.13,-28.548,1233.664
0.574 sec,-683.078,-172.508,684.298
0.576 sec,-484.828,364.658,186.66
0.579 sec,-664.656,225.578,847.9
0.581 sec,-664.656,39.528,778.482
0.583 sec,-242.048,-168.97,1093.364
