Time,accX,accY,accZ
0 sec,2.061545028213,172.152040350889,1197.62799779684
0.0033333 sec,853.917966857735,-473.668274290747,1383.98774672157
0.0066667 sec,-828.657472404828,-374.161782721,1344.08808611648
0.01 sec,-659.044,-680.272,780.068
0.013333 sec,13.849455626083,-87.0660149713209,469.269389833737
0.016667 sec,-31.9890378519625,212.439430810088,782.291306549275
0.02 sec,488,-209.84,1186.938
0.023333 sec,1434.51449664293,-282.140806318484,1313.55204390035
0.026667 sec,462.710604035631,-20.4449340256879,778.168873201614
0.03 sec,-1125.77421170746,-212.132176446403,970.882202297086
0.033333 sec,-683.771777780376,-326.719327741174,959.268137156992
0.036667 sec,-903.690895943334,-142.394845682146,776.152734301558
0.04 sec,185.453691977945,-118.21047229532,725.068938533541
0.043333 sec,1217.11264008937,549.522003853421,1212.35055133542
0.046667 sec,-41.8038190182079,306.630393136543,1334.64960763437
0.05 sec,-1129.598,667.584,1137.04
0.053333 sec,-358.442698891275,27.6385906027918,245.724515499133
0.056667 sec,140.758583891097,244.080835040395,1154.79807215721
0.06 sec,320.128,-591.7,532.53
0.063333 sec,1123.8191571137,-329.083862063049,1515.52665574434
0.066667 sec,1505.9730492511,-309.083147815799,1128.23993957942
0.07 sec,-834.504079006567,-29.7974666092892,1138.48214460381
0.073333 sec,-877.211570184172,164.521825852574,528.00446540535
0.076667 sec,-844.259106609795,484.411244990586,909.052373630274
0.08 sec,-247.583855587204,192.963815592561,410.976181202163
0.083333 sec,1090.8130697369,-86.0081927667888,993.163542006896
0.086667 sec,364.593220017413,-58.9560647676578,1385.54496411127
0.09 sec,-783.606,-43.92,1403.732
0.093333 sec,158.032675489664,-174.433192419554,503.312364292259
0.096667 sec,-164.431412951556,52.5117632774367,427.895824628553
0.1 sec,303.902,-17.69,766.16
0.10333 sec,895.229482970194,241.187747846586,1681.33747844392
0.10667 sec,1189.53189461235,57.2837661592756,1089.37132878979
0.11 sec,59.8620297626088,105.314044984653,1020.76122092673
0.11333 sec,-992.262397666943,244.284674229332,815.339144867596
0.11667 sec,-1072.21054346079,96.5807351062868,328.423700826926
0.12 sec,-987.834,-122.732,483.852
0.12333 sec,934.897037564992,-312.537745793415,510.148059206119
0.12667 sec,980.804488931476,-152.415464273343,1357.9102690781
0.13 sec,-499.346,-162.26,1124.23
0.13333 sec,-693.833424120394,51.1886969533517,666.810739658602
0.13667 sec,-23.9567249511821,388.9833253272,621.136531954055
0.14 sec,24.1658952479049,-117.595320874874,712.468472525558
0.14333 sec,509.08861722799,-137.379224829467,845.424623022325
0.14667 sec,1529.70888467286,-670.233909695854,1475.45220026855
0.15 sec,944.213442406776,-175.61727032092,1209.40199490036
0.15333 sec,-948.357832741819,-86.0367939327842,776.750123142224
0.15667 sec,-835.336860402867,-124.650861278788,890.041332387746
0.16 sec,-1058.716,-173.85,476.166
0.16333 sec,-14.9429748031053,290.535052282624,492.556272170344
0.16667 sec,1193.07346870667,501.593187974551,924.2450430995
0.17 sec,-109.19,253.394,1842.81
0.17333 sec,-628.229461424573,342.776893724485,857.118865592829
0.17667 sec,-239.263032367389,124.888559416415,445.120444712159
0.18 sec,-16.3088741099021,-171.12013059061,773.460388473332
0.18333 sec,284.165310221704,-590.646572555294,439.464712581941
0.18667 sec,1144.27338375762,-262.877296939501,1483.98377403354
0.19 sec,1515.1867766031,-539.213878462858,1295.94035058715
0.19333 sec,-343.620246575794,-215.728113282101,653.760504817941
0.19667 sec,-780.872498338953,236.133253840367,694.955664684245
0.2 sec,-889.38,111.264,847.29
0.20333 sec,-415.803355159991,-126.2354489682,87.6074918862191
0.20667 sec,1102.0215504766,135.035519953184,817.577681759472
0.21 sec,282.40381656243,-75.8230956074397,1566.27641450924
0.21333 sec,-678.094621349202,-42.117110080273,1318.84919050526
0.21667 sec,-563.186127612685,-253.248527622122,497.780857445963
0.22 sec,170.913948135317,371.990049212847,1025.13325007724
0.22333 sec,247.846450648986,207.09900448944,331.222883457774
0.22667 sec,522.362620352912,-529.107949675845,1726.15291590171
0.23 sec,1429.718,111.02,1124.596
0.23333 sec,-48.8275150945825,32.8542505326603,1337.70046058435
0.23667 sec,-1163.96846537718,148.238402531348,1085.68170438399
0.24 sec,-717.461488933481,-2.64900577667085,1000.79723790422
0.24333 sec,-651.995370925727,-128.068162061775,316.766785536883
0.24667 sec,-89.3155950578525,364.53764969789,1018.6756408802
0.25 sec,715.420432585619,-6.96357245879994,1452.98868092595
0.25333 sec,-356.3461473936,-98.4074373206449,1349.59854004741
0.25667 sec,-623.974706580477,254.973561476366,1115.69927011686
0.26 sec,-303.658,396.256,566.69
0.26333 sec,261.928995832924,-546.436131295431,393.330416650161
0.26667 sec,403.157139205705,-95.7355639151303,992.167365823432
0.27 sec,1394.094,-957.944,1456.558
0.27333 sec,813.88378111377,423.669573583891,542.115972326928
0.27667 sec,-1135.64753646717,-15.3101172335273,532.02241578584
0.28 sec,-1086.1330738109,66.9913365929114,1026.22573568271
0.28333 sec,-591.722902312696,567.389514351487,600.908592013227
0.28667 sec,-330.896085091188,73.7110183080635,604.23475834917
0.29 sec,1200.11941556278,11.1168724228008,887.065954021096
0.29333 sec,-264.789369120799,236.787154683042,2060.40779348024
0.29667 sec,-632.902151633676,323.348777745653,1191.40579240627
0.3 sec,-156.892,-310.49,967.826
0.30333 sec,293.991735753991,245.465660285708,854.090057116811
