Time,accX,accY,accZ
0 sec,1246.962,-219.844,885.232
0.002 sec,1077.626,-475.434,1271.606
0.004 sec,-335.012,-398.818,1724.226
0.007 sec,-840.336,-467.016,923.052
0.009 sec,-659.044,-680.272,780.068
0.012 sec,-12.2,-157.624,549.488
0.014 sec,-13.786,163.236,232.898
0.016 sec,-20.74,195.322,891.454
0.019 sec,488,-209.84,1186.938
0.021 sec,1225.978,-374.54,1601.25
0.023 sec,1408.734,-218.868,1085.068
0.026 sec,254.248,27.816,834.602
0.028 sec,-969.656,168.848,1215.608
0.03 sec,-1023.458,-597.922,682.102
0.033 sec,-677.222,-188.124,1045.418
0.035 sec,-901.824,-145.668,847.168
0.038 sec,-319.396,-97.234,711.26
0.04 sec,719.19,-18.3,805.688
0.042 sec,1267.092,542.778,1169.858
0.045 sec,105.286,158.234,1311.012
0.047 sec,-318.908,731.268,1368.84
0.049 sec,-1129.598,667.584,1137.04
0.052 sec,-383.446,104.432,250.71
0.054 sec,-383.446,-145.18,619.882
0.056 sec,237.9,273.158,1181.448
0.059 sec,320.128,-591.7,532.53
0.061 sec,666.12,-488.976,1142.408
0.063 sec,1360.544,-283.772,1565.626
0.066 sec,1333.582,-319.762,1103.49
0.068 sec,-330.864,-245.708,1228.296
0.071 sec,-993.324,312.93,701.866
0.073 sec,-829.966,112.85,549
0.075 sec,-829.966,404.43,897.31
0.078 sec,-608.17,380.64,538.508
0.08 sec,215.94,30.866,472.384
0.082 sec,1022.97,-61,993.202
0.084 sec,1024.434,-205.204,836.554
0.087 sec,-294.874,64.05,1811.212
0.089 sec,-783.606,-43.92,1403.732
0.092 sec,149.816,-165.31,500.444
0.094 sec,-127.368,-151.524,635.986
0.096 sec,-127.368,82.96,407.236
0.099 sec,303.902,-17.69,766.16
0.101 sec,393.084,16.958,826.306
0.103 sec,1109.346,272.914,1939.556
0.105 sec,1144.116,-19.398,1180.838
0.108 sec,878.4,428.708,1331.264
0.11 sec,-731.268,-189.588,708.21
0.112 sec,-998.936,188.856,836.92
0.115 sec,-1075.186,138.592,269.864
0.117 sec,-1075.186,36.234,574.498
0.119 sec,-987.834,-122.732,483.852
0.122 sec,778.848,-304.39,411.14
0.124 sec,1270.142,-289.384,1141.554
0.127 sec,456.89,-68.93,1302.716
0.129 sec,-499.346,-162.26,1124.23
0.131 sec,-1046.028,-266.082,751.276
0.134 sec,-74.298,474.58,657.58
0.136 sec,-44.408,334.524,645.746
0.138 sec,-44.408,5.368,883.768
0.14 sec,128.344,-171.532,513.01
0.143 sec,665.754,-217.16,1047.126
0.145 sec,1287.71,-673.074,1476.81
0.148 sec,1627.602,-242.902,1218.414
0.15 sec,94.306,-156.404,1194.868
0.152 sec,-906.094,-72.59,853.146
0.155 sec,-772.87,-218.99,652.944
0.157 sec,-1058.716,47.458,1227.686
0.159 sec,-1058.716,-173.85,476.166
0.162 sec,-175.68,215.208,421.632
0.164 sec,803.614,561.444,805.322
0.166 sec,1166.564,463.112,978.562
0.169 sec,-109.19,253.394,1842.81
0.171 sec,-493.612,470.066,1473.882
0.173 sec,-640.988,245.342,591.09
0.176 sec,-182.634,123.708,502.884
0.178 sec,-10.614,16.958,839.36
0.18 sec,-10.614,-388.448,601.582
0.183 sec,423.828,-514.718,560.468
0.185 sec,938.912,-181.658,1303.692
0.187 sec,1502.674,-559.614,1605.276
0.19 sec,1129.842,-442.128,1032.73
0.192 sec,-188.368,-284.138,653.066
0.195 sec,-732.61,318.176,818.62
0.197 sec,-873.154,-7.198,483.852
0.199 sec,-889.38,111.264,847.29
0.201 sec,-889.38,46.97,518.744
0.204 sec,481.656,-163.846,25.742
0.206 sec,1127.768,164.7,962.458
0.208 sec,618.052,-32.33,1341.024
0.211 sec,-313.296,-9.76,1772.538
0.213 sec,-794.342,-107.726,1030.046
0.215 sec,-706.014,-317.2,522.648
0.218 sec,23.546,263.032,825.33
0.22 sec,228.506,398.696,982.1
0.222 sec,228.506,274.134,289.384
0.224 sec,405.04,-241.682,1179.374
0.227 sec,810.568,-447.13,1652.856
0.229 sec,1429.718,111.02,1124.596
0.231 sec,612.196,185.44,1353.59
0.234 sec,-713.822,-48.19,1136.674
0.236 sec,-1184.254,170.312,1100.318
0.238 sec,-854.488,39.284,1166.076
0.241 sec,-652.212,-46.726,477.386
0.243 sec,-652.212,-92.598,376.736
0.245 sec,-402.6,337.574,940.254
0.248 sec,919.148,57.218,1144.36
0.25 sec,318.298,3.294,1665.788
0.252 sec,-238.998,-34.892,1348.954
0.254 sec,-859.124,-335.134,1517.192
0.257 sec,-319.884,731.268,700.036
0.259 sec,-303.658,396.256,566.69
0.262 sec,239.974,-531.92,379.908
0.264 sec,239.974,-328.668,617.686
0.266 sec,478.972,-128.466,1077.87
0.269 sec,1394.094,-957.944,1456.558
0.271 sec,1351.882,-66.368,802.394
0.274 sec,-204.594,455.182,487.024
0.276 sec,-1231.224,-84.18,549.122
0.278 sec,-1146.922,-35.624,782.752
0.281 sec,-926.712,330.864,1146.068
0.283 sec,-478.728,606.096,365.146
0.285 sec,-478.728,231.434,477.752
0.288 sec,776.164,-135.176,872.3
0.29 sec,1207.19,164.334,1065.426
0.292 sec,-103.822,213.012,1997.506
0.295 sec,-543.632,423.462,1411.052
0.297 sec,-737.49,-25.132,926.346
0.299 sec,-156.892,-310.49,967.826
0.302 sec,290.97,317.932,901.58
0.304 sec,253.028,-381.86,639.89
0.306 sec,253.028,-365.512,853.268
0.309 sec,799.954,-162.26,1549.522
0.311 sec,1390.678,243.512,1534.15
0.314 sec,905.484,141.52,1093.12
0.316 sec,-687.226,-13.542,458.598
0.318 sec,-953.552,145.546,1138.626
0.321 sec,-908.412,405.406,308.538
0.323 sec,-1000.644,94.184,132.736
0.325 sec,-466.284,-121.756,65.026
0.327 sec,564.372,-383.812,672.83
0.33 sec,1456.68,-86.132,1323.456
0.332 sec,612.318,-631.106,1196.21
0.335 sec,-441.884,-606.096,821.914
0.337 sec,-924.028,-445.3,1152.534
0.339 sec,-585.112,529.724,832.65
0.342 sec,34.892,135.786,416.386
0.344 sec,38.43,239.852,611.098
0.346 sec,271.45,285.724,692.472
0.348 sec,521.306,63.806,1151.802
0.351 sec,1104.954,-433.588,1394.948
0.353 sec,1632.482,-311.466,1140.212
0.355 sec,188.978,-124.318,1041.88
0.358 sec,-900.604,43.554,946.232
0.36 sec,-799.1,-552.172,578.28
0.362 sec,-675.758,-48.312,796.782
0.365 sec,-642.208,-156.892,750.422
0.367 sec,-229.848,214.232,648.552
0.37 sec,521.306,492.026,1166.198
0.372 sec,1135.82,254.736,472.018
0.374 sec,43.432,377.59,1803.404
0.376 sec,-417.606,942.938,1491.816
0.379 sec,-952.576,454.938,897.676
0.381 sec,-314.882,563.884,559.004
0.383 sec,-362.218,363.194,409.554
0.386 sec,302.804,-343.308,803.37
0.388 sec,330.132,-562.176,706.868
0.39 sec,923.54,-379.298,1095.682
0.393 sec,1425.936,-1093.73,1651.392
0.395 sec,1140.7,-425.292,1128.378
0.398 sec,-277.184,5.734,986.98
0.4 sec,-1080.432,18.544,914.39
0.402 sec,-1058.35,115.412,503.738
0.404 sec,-851.682,93.818,558.516
0.407 sec,-663.436,328.302,591.578
0.409 sec,278.648,-92.72,350.262
0.411 sec,1371.768,-72.468,725.656
0.414 sec,996.008,-346.968,1344.44
0.416 sec,-406.382,-230.946,1746.43
0.419 sec,-987.956,-531.066,1112.152
0.421 sec,-459.818,-563.762,967.338
0.423 sec,-8.052,222.528,212.89
0.426 sec,5.978,-34.648,778.116
0.428 sec,395.646,60.756,736.27
0.43 sec,322.324,-190.93,1009.062
0.432 sec,1211.704,8.662,1425.082
0.434 sec,1211.704,-83.204,1272.338
0.437 sec,512.644,327.692,1103.734
0.439 sec,-752.74,129.686,1023.824
0.441 sec,-802.516,379.786,1193.892
0.444 sec,-769.942,70.394,-11.346
0.446 sec,-1178.032,201.056,514.23
0.448 sec,-773.846,153.232,305.976
0.45 sec,-275.232,-232.166,590.846
0.453 sec,1219.146,-492.392,768.6
0.455 sec,1219.146,-368.562,1825.608
0.458 sec,-404.064,189.832,1534.882
0.46 sec,-849.12,77.226,1530.734
0.462 sec,-199.836,234.972,613.538
0.465 sec,-261.324,235.216,649.528
0.467 sec,1.83,1.098,491.538
0.469 sec,188.856,-74.664,951.6
0.471 sec,453.84,-373.32,1189.622
0.474 sec,1688.236,-394.914,1861.964
0.476 sec,1688.236,-309.026,774.334
0.479 sec,-200.446,333.914,1224.636
0.481 sec,-1220.61,-12.566,748.714
0.483 sec,-1051.03,-14.396,703.452
0.486 sec,-773.968,-288.774,789.096
0.488 sec,-924.516,-5.734,517.158
0.49 sec,-723.582,28.548,200.324
0.493 sec,899.14,220.088,733.708
0.495 sec,940.742,-43.676,1015.284
0.497 sec,940.742,73.078,2053.504
0.499 sec,-306.952,445.178,1449.238
0.502 sec,-675.636,-57.95,1319.918
0.504 sec,-78.812,85.766,635.864
0.506 sec,-132.98,-15.25,679.906
0.509 sec,55.998,25.986,1013.576
0.511 sec,214.72,-453.84,755.79
0.513 sec,463.966,-341.234,1649.928
0.516 sec,1416.42,-424.194,1367.864
0.518 sec,1416.42,79.056,1283.806
0.521 sec,-538.63,-268.766,974.658
0.523 sec,-1031.632,-44.53,647.088
0.525 sec,-860.222,884.012,816.79
0.528 sec,-1075.186,207.644,511.912
0.53 sec,-844.118,297.558,452.742
0.532 sec,-369.782,325.862,552.66
0.535 sec,1153.876,-335.134,1122.766
0.537 sec,310.246,100.772,1606.984
0.539 sec,310.246,-46.238,1416.42
0.542 sec,-1001.01,-360.022,1007.476
0.544 sec,-438.956,33.428,913.414
0.546 sec,-132.492,237.168,721.386
0.549 sec,-15.494,-201.178,537.776
0.551 sec,275.598,-29.402,1034.438
0.553 sec,437.614,44.896,408.212
0.555 sec,721.02,-126.392,1711.416
0.558 sec,1568.676,-6.344,1158.512
0.56 sec,1568.676,40.504,1028.216
0.562 sec,94.672,-48.678,861.32
0.565 sec,-1129.476,-508.496,1014.43
0.567 sec,-811.666,108.946,783.362
0.569 sec,-1161.806,332.572,999.79
0.572 sec,-686.982,-226.31,141.52
0.574 sec,-335.134,111.752,692.472
0.576 sec,828.502,132.004,776.896
0.579 sec,0.244,-298.9,1864.77
0.581 sec,0.244,217.648,1103.856
0.583 sec,-320.494,-7.076,1595.76
0.585 sec,-771.772,25.864,919.148
0.587 sec,-154.086,117.73,619.516
0.59 sec,105.53,126.392,616.832
