Time,accX,accY,accZ
0 sec,-1263.03629904828,433.453784337712,1023.26647599624
0.0033333 sec,-904.821898930104,178.366111349044,680.080683161089
0.0066667 sec,353.376504621773,152.63571139356,744.748527754283
0.01 sec,219.729847475848,208.846779742342,1448.52674576581
0.013333 sec,-705.908321790325,106.038321360249,1047.09020312472
0.016667 sec,-357.632870826972,-301.769299448143,915.747246503518
0.02 sec,-164.578,-318.908,919.514
0.023333 sec,200.824535915563,-481.20126192348,676.971486381894
0.026667 sec,244.045219495187,-342.105891806627,1632.90073411171
0.03 sec,1227.808,356.728,583.77
0.033333 sec,-79.359039279376,227.64940109125,1240.16507751047
0.036667 sec,-851.384231743333,426.455407457282,551.588201973895
0.04 sec,-890.961681388844,297.04507010604,628.978780693085
0.043333 sec,-986.802241856809,-36.5164685612061,203.183352425314
0.046667 sec,-203.323979305905,-67.455876316534,1019.60641605488
0.05 sec,680.842228779308,-496.716002578134,1215.37674672884
0.053333 sec,-357.549271461863,-97.1931709303054,1437.65905440435
0.056667 sec,-727.936735125059,73.0635597553801,1272.97318413694
0.06 sec,-212.768,-50.996,338.062
0.063333 sec,81.1047502367645,154.407387645856,831.2407059304
0.066667 sec,174.068166962311,31.9505385046337,1044.0756166625
0.07 sec,1059.31871593645,-58.9297457414259,1354.02991672785
0.073333 sec,471.785595112627,164.663471453703,936.845948649058
0.076667 sec,-1052.5491340634,-218.441085175095,929.800252116221
0.08 sec,-654.397599615934,-507.337071085144,642.129731322667
0.083333 sec,-905.374118066489,-56.0609444391584,547.996494545832
0.086667 sec,-619.562515548728,116.354682686592,771.371501640939
0.09 sec,846.192,491.782,430.416
0.093333 sec,484.037429376592,685.583520268165,1818.0840382767
0.096667 sec,-861.028565997649,-18.3810412386824,1098.51451145436
0.1 sec,21.0139617556139,391.913767634637,719.640524640888
0.10333 sec,-75.4385086228577,-112.99016182469,663.218768630817
0.10667 sec,277.495637817688,-496.627228110602,927.110426266579
0.11 sec,533.356827468534,-18.7694341146323,1622.69421661196
0.11333 sec,1455.24597662945,-549.427673876397,1263.64789841889
0.11667 sec,-661.168139792326,-181.154916267923,1060.04164557905
0.12 sec,-997.151319923869,-5.37345625319316,567.976219232771
0.12333 sec,-945.888799316443,212.937095308522,624.281162431141
0.12667 sec,-674.703021711153,200.663103002717,639.523668847952
0.13 sec,297.07,-226.066,715.774
0.13333 sec,961.626140917312,-183.174094423327,1695.40042260145
0.13667 sec,-793.630878291191,-305.961367953906,1459.61771387677
0.14 sec,-252.109685976647,-65.8605481621235,844.05561848016
0.14333 sec,26.8348287453398,261.878485393075,557.137137112168
0.14667 sec,81.7981079880263,32.1136955221766,1024.32718708976
0.15 sec,587.74777389426,-266.063450445908,1142.80101925844
0.15333 sec,1137.05624653041,-390.945215269969,1229.29007497442
0.15667 sec,304.10598108988,302.744237978972,877.742741691087
0.16 sec,-704.794,-241.682,939.034
0.16333 sec,-965.076196284378,-15.4206989684205,548.860406363611
