Time,accX,accY,accZ
0 sec,-1133.014,288.53,773.724
0.003 sec,-786.534,178.486,715.408
0.005 sec,-48.678,172.996,775.066
0.007 sec,920.978,125.538,801.296
0.01 sec,-298.778,228.384,1568.188
0.012 sec,-671.366,123.098,1058.35
0.014 sec,-757.864,-13.664,1235.128
0.017 sec,-82.472,-441.518,673.196
0.019 sec,-164.578,-318.908,919.514
0.022 sec,201.544,-501.786,648.918
0.024 sec,85.766,-314.394,1136.552
0.026 sec,327.448,-317.566,1634.19
0.029 sec,1227.808,356.728,583.77
0.031 sec,815.692,183.244,970.876
0.033 sec,-481.9,293.166,1236.104
0.036 sec,-846.68,427.854,506.178
0.038 sec,-902.922,370.27,632.204
0.04 sec,-887.916,196.176,502.762
0.043 sec,-933.056,-44.164,346.48
0.045 sec,-406.87,18.3,1138.748
0.047 sec,196.42,-337.33,590.602
0.05 sec,639.89,-404.064,1602.104
0.052 sec,-194.468,-92.964,1497.916
0.054 sec,-898.164,-208.864,1244.766
0.057 sec,-418.338,238.388,1089.826
0.059 sec,-212.768,-50.996,338.062
0.062 sec,85.4,165.798,800.076
0.064 sec,19.642,-10.858,821.304
0.066 sec,217.16,51.606,1132.77
0.068 sec,616.588,42.822,1570.384
0.07 sec,1363.472,-109.8,1039.684
0.073 sec,-11.346,180.804,954.406
0.075 sec,-1085.068,-139.934,898.896
0.077 sec,-692.228,-318.786,965.63
0.08 sec,-758.108,-467.992,520.208
0.082 sec,-875.716,-80.032,571.57
0.085 sec,-862.296,-45.994,498.858
0.087 sec,41.724,484.95,1119.716
0.089 sec,846.192,491.782,430.416
0.091 sec,1034.072,489.464,1646.634
0.094 sec,-455.304,625.738,1351.272
0.096 sec,-825.33,-66.734,1065.304
0.098 sec,-114.558,416.752,823.988
0.101 sec,-106.018,-67.344,629.764
0.103 sec,-8.296,-147.132,663.558
0.105 sec,235.948,-500.932,716.628
0.108 sec,382.47,-96.99,1731.668
0.11 sec,842.288,-94.55,1381.406
0.112 sec,1509.384,-518.5,1251.598
0.115 sec,-290.116,-283.284,1209.996
0.117 sec,-1049.444,-42.334,718.214
0.12 sec,-904.142,41.968,593.164
0.122 sec,-928.054,222.65,625.616
0.124 sec,-953.064,94.672,617.442
0.126 sec,-599.02,205.082,633.18
0.129 sec,297.07,-226.066,715.774
0.131 sec,1059.936,-226.066,1437.77
0.133 sec,689.422,-186.66,1727.642
0.136 sec,-848.51,-302.682,1391.898
0.138 sec,-387.594,-146.644,966.484
0.141 sec,-194.834,111.752,684.542
0.143 sec,106.262,273.036,576.572
0.145 sec,39.406,36.112,986.736
0.147 sec,288.408,59.78,985.272
0.15 sec,700.646,-447.984,1246.474
0.152 sec,1022.604,-447.984,1257.82
0.154 sec,1437.892,17.202,1022.604
0.157 sec,-658.434,232.776,898.652
0.159 sec,-704.794,-241.682,939.034
0.161 sec,-842.532,-76.86,363.682
0.164 sec,-1029.314,34.526,950.38
0.166 sec,-867.298,188.002,689.178
0.168 sec,-177.876,-189.1,630.008
0.171 sec,836.554,-337.696,1072.014
0.173 sec,1177.056,-337.696,1771.318
0.176 sec,-617.564,140.788,1116.544
0.178 sec,-715.652,-170.678,1191.208
0.18 sec,-109.556,30.744,658.434
0.183 sec,-127.002,266.326,800.442
0.185 sec,70.394,216.55,615.978
0.187 sec,266.936,265.228,904.142
0.189 sec,433.954,-466.162,673.44
0.192 sec,711.138,-169.336,1992.138
0.194 sec,1522.804,-169.336,983.808
0.197 sec,-401.746,-72.468,1265.018
0.199 sec,-1058.594,-117.608,81.618
0.201 sec,-950.746,-57.584,628.422
0.204 sec,-832.162,15.86,853.268
0.206 sec,-1067.134,-121.39,980.27
0.208 sec,-618.296,149.328,387.594
0.21 sec,226.676,172.386,435.54
0.213 sec,991.494,-30.134,1168.028
0.215 sec,815.082,-30.134,1985.794
0.217 sec,-494.71,224.846,1233.908
0.22 sec,-565.348,383.446,1401.17
0.222 sec,-18.3,-117.73,530.456
0.224 sec,-90.524,-135.054,959.164
0.227 sec,25.498,-149.206,674.538
0.229 sec,294.02,-57.706,776.774
0.231 sec,507.642,-180.682,832.65
0.234 sec,963.312,264.374,1554.768
0.236 sec,1228.418,264.374,790.926
0.238 sec,582.184,323.666,1048.59
0.241 sec,-776.774,271.328,587.674
0.243 sec,-876.326,224.602,453.84
0.245 sec,-980.27,8.906,906.948
0.247 sec,-769.454,138.958,300.486
0.25 sec,-406.626,20.496,417.484
0.252 sec,553.27,-84.302,722.85
0.254 sec,1051.884,-57.096,1074.088
0.257 sec,247.782,-66.49,1032.852
0.259 sec,-351.97,-18.666,714.798
0.261 sec,-698.084,-370.27,834.236
0.264 sec,-206.546,173.118,809.836
0.266 sec,20.13,-567.666,552.904
0.268 sec,4.026,-434.93,1024.678
0.27 sec,277.184,-252.54,649.65
0.273 sec,549.488,-143.96,1316.502
0.275 sec,1297.104,-1013.942,1445.456
0.278 sec,1274.412,-205.57,1010.892
0.28 sec,-91.744,197.518,906.094
0.282 sec,-898.896,144.326,580.232
0.285 sec,-611.83,-224.602,771.772
0.287 sec,-1062.376,-53.314,1105.32
0.289 sec,-564.006,486.17,334.89
0.292 sec,-218.014,160.186,437.858
0.294 sec,741.516,376.37,1206.946
0.296 sec,1152.29,-99.796,1279.536
0.299 sec,-101.138,174.826,815.692
0.301 sec,-453.108,237.656,1719.956
0.303 sec,-637.45,-203.008,580.964
0.306 sec,-204.472,-162.26,1142.774
0.308 sec,245.952,-307.44,389.058
0.311 sec,181.658,85.888,871.69
0.313 sec,307.684,-565.836,991.128
0.315 sec,859.246,-290.36,2253.95
0.318 sec,1682.014,98.942,1192.916
0.32 sec,989.664,98.942,536.8
0.322 sec,-421.266,-174.216,368.44
0.324 sec,-1058.96,139.324,767.136
0.327 sec,-823.378,25.01,278.77
0.329 sec,-942.816,-2.074,305.244
0.331 sec,-414.8,290.238,-5.978
0.334 sec,260.348,171.166,889.868
0.336 sec,1064.206,-383.69,1277.828
0.338 sec,778.726,-425.902,1020.652
0.341 sec,-352.58,-230.946,1006.622
0.343 sec,-787.632,-300.364,1069.33
0.345 sec,-828.136,112.24,1008.208
0.348 sec,7.442,225.944,559.126
0.35 sec,255.224,-32.94,419.436
0.352 sec,27.694,53.07,530.822
0.354 sec,547.536,327.814,1029.558
0.356 sec,547.536,-379.786,1385.676
0.359 sec,1559.404,-301.706,869.25
0.361 sec,217.404,-141.52,1199.138
0.364 sec,-864.614,86.498,763.72
0.366 sec,-920.124,-309.636,695.278
0.368 sec,-812.886,-275.598,827.282
0.371 sec,-803.614,-177.144,597.922
0.373 sec,-162.992,-87.108,511.302
0.376 sec,511.18,-20.374,993.69
0.378 sec,1120.936,944.402,939.156
0.38 sec,100.772,104.676,1300.276
0.382 sec,-513.498,388.936,1262.944
0.385 sec,-773.724,104.798,711.382
0.387 sec,-292.312,457.5,753.228
0.389 sec,-159.82,279.38,241.316
0.392 sec,275.598,207.766,1062.864
0.394 sec,353.678,-288.042,730.658
0.396 sec,798.734,100.284,1241.838
0.398 sec,798.734,-64.66,1745.21
0.401 sec,1161.074,-539.362,1253.794
0.403 sec,-328.18,-329.522,1366.522
0.406 sec,-1167.906,-226.432,617.564
0.408 sec,-964.776,147.376,459.086
0.41 sec,-808.738,143.838,703.574
0.413 sec,-703.574,-160.308,306.83
0.415 sec,14.64,-34.648,792.756
0.417 sec,1006.378,-304.878,1105.93
0.42 sec,891.454,-194.102,890.844
0.422 sec,-350.994,29.158,1439.844
0.424 sec,-824.354,-70.028,1070.062
0.427 sec,-590.48,-383.812,973.682
0.429 sec,-99.43,-39.162,389.424
0.431 sec,11.59,7.686,568.032
0.433 sec,-45.018,-251.076,572.79
0.436 sec,464.82,-396.256,1189.866
0.438 sec,1086.288,13.908,765.672
0.44 sec,1273.68,410.164,1281.732
0.443 sec,482.266,170.434,1085.19
0.445 sec,-652.456,-122.732,1026.874
0.447 sec,-794.586,260.226,747.738
0.45 sec,-675.27,269.132,617.686
0.452 sec,-1064.206,39.162,762.988
0.454 sec,-846.558,-80.154,609.146
0.457 sec,409.92,-78.812,847.778
0.459 sec,1208.532,-104.92,1084.214
0.461 sec,365.268,-31.842,1604.422
0.464 sec,-317.81,-63.806,1401.292
0.466 sec,-782.264,4.636,1433.5
0.468 sec,-264.74,334.646,794.342
0.471 sec,-328.668,513.986,552.904
0.473 sec,-34.526,1.952,552.904
0.475 sec,76.006,-303.414,864.004
0.477 sec,346.846,-234.362,1190.232
0.48 sec,1615.402,-297.924,1723.738
0.482 sec,1209.386,-189.954,746.152
0.484 sec,1195.478,16.836,1356.152
0.487 sec,-851.56,-137.128,668.804
0.489 sec,-716.75,-88.206,741.028
0.491 sec,-709.552,-410.774,768.722
0.494 sec,-908.29,-260.592,517.402
0.496 sec,-802.638,-110.166,445.422
0.499 sec,872.178,163.114,830.454
0.501 sec,946.842,299.998,800.808
0.503 sec,-208.742,500.078,1799.744
0.506 sec,-768.722,431.758,1203.774
0.508 sec,-516.182,-17.446,1147.41
0.51 sec,-38.43,107.238,728.462
0.512 sec,-62.83,-250.71,617.442
0.515 sec,-73.078,-342.454,915.244
0.517 sec,206.668,11.224,778.848
0.519 sec,326.838,-513.376,1461.072
0.522 sec,1429.23,-174.46,1534.638
0.524 sec,991.982,243.878,1128.256
0.526 sec,974.17,42.7,1031.998
0.529 sec,-1101.05,11.956,755.546
0.531 sec,-994.666,294.508,428.342
0.533 sec,-1024.8,157.258,609.146
0.535 sec,-908.168,58.316,683.566
0.538 sec,-512.034,314.516,771.528
0.54 sec,597.19,57.584,392.108
0.542 sec,870.104,210.206,1125.938
0.545 sec,-463.6,-316.224,1913.082
0.547 sec,-446.276,-97.478,1348.71
0.549 sec,-646.966,-129.686,1131.184
0.552 sec,-119.194,-170.312,622.81
0.554 sec,-13.42,-110.898,700.768
0.556 sec,186.66,-32.33,1051.396
0.559 sec,332.572,203.862,508.74
0.561 sec,704.794,308.538,1104.344
0.563 sec,961.604,-436.882,1043.222
0.566 sec,28.06,165.31,980.758
0.568 sec,17.324,1.22,1010.77
0.57 sec,-825.574,-640.988,775.554
0.572 sec,-940.62,-153.598,602.07
0.575 sec,-972.218,241.316,1267.336
0.577 sec,-531.676,-172.63,451.766
0.579 sec,-159.21,-133.834,630.618
0.582 sec,888.648,457.744,1041.636
0.584 sec,1070.916,324.032,880.352
0.586 sec,-228.384,355.63,1003.45
0.589 sec,-470.188,-118.828,1535.614
0.591 sec,-746.64,446.52,540.216
0.594 sec,-203.13,-23.668,781.41
0.596 sec,134.566,274.134,779.336
0.598 sec,210.084,-458.964,687.592
