Time,accX,accY,accZ
0 sec,927.566,599.508,628.544
0.0033333 sec,417.745457952545,387.775128288238,1561.33257817728
0.0066667 sec,-431.545553674933,158.229447245512,1376.7923274092
0.01 sec,-375.783003656813,-178.647166690657,1012.09580690498
0.013333 sec,-229.422707905176,-155.062447099451,974.239377473696
0.016667 sec,-148.669908835894,-239.224827210072,16.2227937855328
0.02 sec,755.714550115691,469.166011970919,295.006575198351
0.023333 sec,1281.07162553751,-106.272296220427,1345.04876447266
0.026667 sec,411.676872421719,493.75832136474,1249.62012932825
0.03 sec,-770.308,15.128,1236.104
0.033333 sec,-962.340315327417,-252.186944719428,1186.36203311589
0.036667 sec,-526.820585823878,-295.622516350375,500.324221494285
0.04 sec,451.156,470.676,26.474
0.043333 sec,1001.92566852223,265.22799714847,1031.31217583884
0.046667 sec,-154.632533235346,492.103081436525,1344.58174673574
0.05 sec,-715.080610323049,-50.7130190036067,1488.39167324857
0.053333 sec,-309.271554522841,-191.726728499677,849.654337307552
0.056667 sec,-185.854373077306,85.1296751559304,685.090465401383
0.06 sec,520.911541140357,-274.225977649123,31.1392816508242
0.063333 sec,1392.3230024914,-743.870695054806,923.853979164984
0.066667 sec,880.951215987441,-82.8459511630176,1099.0561200712
0.07 sec,-601.865860434811,-70.9786375265066,1374.1536727944
0.073333 sec,-992.240492013988,-426.059344216824,1156.16837109528
0.076667 sec,-1002.25369430487,-55.0900303692886,727.467466041172
0.08 sec,-44.652,13.542,174.338
0.083333 sec,990.230006574297,141.046029330521,621.718824613247
0.086667 sec,408.81273901164,125.105335595709,1295.3187074741
0.09 sec,-448.818480228941,110.633011344528,1712.01255594612
0.093333 sec,-453.1132439888,16.5530695001267,1236.7839270615
0.096667 sec,-439.111627181112,-400.45604016693,698.047779475796
0.1 sec,82.986367115891,53.9574153081772,267.805689225169
0.10333 sec,676.473002017325,172.776278797255,1048.79595886187
0.10667 sec,1452.85414630623,315.345443647823,1326.00571432675
0.11 sec,-340.22677278302,288.104430827581,1085.24427966432
0.11333 sec,-837.006038188368,-303.369691648144,1531.40526406893
0.11667 sec,-940.241694514436,-72.5476069568907,917.237384667132
0.12 sec,-558.15,-50.264,-223.626
0.12333 sec,682.490485465067,217.20448510392,-38.1917434789362
0.12667 sec,968.726600458042,429.768163850303,1766.83910608069
0.13 sec,-381.136836705665,211.363686926612,1620.3564918814
0.13333 sec,-291.286669906406,-68.3789861424048,1228.78625491137
0.13667 sec,-410.127123111203,-365.008378743437,1190.82728916883
0.14 sec,-264.003534429237,-252.309740703005,288.606048639316
0.14333 sec,711.309808629602,-358.876951179202,789.270086428624
0.14667 sec,1387.502037831,297.519914057518,987.234551443388
0.15 sec,311.466,-200.446,1358.47
0.15333 sec,-625.785929607665,-86.4499245945471,1735.64554792199
0.15667 sec,-728.127826512399,-154.036651542943,1379.04814237088
0.16 sec,-929.64,-310.978,243.878
0.16333 sec,555.221251639213,-218.236068169824,207.937313326544
0.16667 sec,1213.84821921257,-196.374453934244,1134.95429790681
0.17 sec,-276.574,26.962,1388.482
0.17333 sec,-749.365460789195,-273.90123596956,1594.7652626915
0.17667 sec,-313.274153303445,-170.848929769337,614.88911553855
0.18 sec,-420.412,-78.446,505.446
0.18333 sec,567.061992272362,122.903181514459,410.448085514405
0.18667 sec,819.113256803039,-122.181377178922,932.61870385258
0.19 sec,588.935875092908,68.8205511158118,1494.08074189228
0.19333 sec,-920.563344120935,-53.5865741698613,916.54847888443
0.19667 sec,-659.785289973482,-90.4193325002435,1294.43204787006
0.2 sec,-974.17,-540.948,195.566
0.20333 sec,257.671110283823,211.497193176368,118.535182200432
0.20667 sec,759.149599646193,237.060988359197,352.53725043952
0.21 sec,875.81824771861,443.959963527523,1751.13215162056
0.21333 sec,-668.971413047438,554.296369631082,1768.1473955143
0.21667 sec,-373.794041012706,136.018910902821,1004.56400652154
0.22 sec,-388.317929627292,-3.86811866594316,790.423238167654
0.22333 sec,-125.830149841206,-213.095259289338,254.120869540676
0.22667 sec,1155.25050739819,91.3606880775597,715.89181442878
0.23 sec,1453.508,-266.204,1145.58
0.23333 sec,-498.369473015588,101.508386526248,1709.66335875433
0.23667 sec,-718.848695874769,166.911251880227,1320.78492995593
0.24 sec,-892.552,-419.802,683.688
0.24333 sec,-404.92816527536,30.6914184502577,199.642028217106
0.24667 sec,1181.76588596554,109.539868077334,195.372255443259
0.25 sec,959.551666081469,189.073281917326,1421.35975330967
0.25333 sec,-439.616739147812,97.5149523005292,1607.34723999458
0.25667 sec,-372.400898742128,-199.618653193102,1344.91330497969
0.26 sec,-419.680201171139,-189.148904524815,823.567920379095
0.26333 sec,-311.917087750191,-18.411721811792,308.441374609136
0.26667 sec,610.035181639468,-150.858063476192,748.398986817919
0.27 sec,1495.11,245.952,1203.408
0.27333 sec,630.21096412377,-83.5143420598814,1588.65558806074
0.27667 sec,-580.456756751362,-227.599960006102,1450.57188612905
0.28 sec,-774.578,-32.574,754.692
0.28333 sec,-633.045858534636,-439.864689589978,246.872397635691
0.28667 sec,440.502160304653,3.88622037099427,311.696854873489
0.29 sec,928.45319411408,392.621847603856,856.541479913681
0.29333 sec,-214.631493980669,384.285777312575,1707.37032732521
0.29667 sec,-690.036161120991,-62.5801576286753,1620.61346052163
0.3 sec,-389.735477166671,53.7936379990628,833.021821345326
0.30333 sec,-430.157878468045,-175.791940149566,505.804977156827
0.30667 sec,614.160442075814,-198.351439273267,156.803567504177
