Time,accX,accY,accZ
0 sec,927.566,599.508,628.544
0.002 sec,1259.04,373.564,144.692
0.004 sec,18.422,380.03,2080.954
0.007 sec,-430.416,140.91,1232.81
0.009 sec,-433.71,39.772,1011.99
0.011 sec,-299.754,-356.362,1018.578
0.014 sec,-242.048,-144.326,834.236
0.016 sec,-242.048,-362.828,127.612
0.019 sec,473.238,505.202,163.236
0.021 sec,988.322,231.068,501.054
0.023 sec,1254.892,-139.324,1227.32
0.026 sec,838.018,531.798,1524.634
0.028 sec,-440.542,238.632,776.896
0.03 sec,-770.308,15.128,1236.104
0.033 sec,-1020.164,-317.078,1247.694
0.035 sec,-558.394,89.548,831.918
0.038 sec,-416.264,-372.344,272.914
0.04 sec,451.156,470.676,26.474
0.042 sec,1106.784,-108.458,259.006
0.044 sec,824.964,543.022,1366.644
0.047 sec,-277.428,417.606,1307.352
0.049 sec,-762.012,37.454,1382.626
0.052 sec,-381.25,-130.906,1346.758
0.054 sec,-299.632,-160.674,699.914
0.056 sec,-217.526,125.782,850.828
0.059 sec,158.844,-304.268,-161.528
0.061 sec,901.336,-269.254,423.584
0.064 sec,1469.49,-717.726,977.342
0.066 sec,1296.128,-77.226,1067.866
0.068 sec,-99.674,-288.774,1195.966
0.071 sec,-651.48,-19.886,1338.218
0.073 sec,-944.646,-406.138,1112.274
0.076 sec,-1081.652,-86.376,1248.914
0.078 sec,-712.602,-71.37,-291.092
0.08 sec,-44.652,13.542,174.338
0.083 sec,900.482,138.104,496.052
0.085 sec,1123.986,138.104,1334.558
0.087 sec,235.826,110.41,1290.882
0.089 sec,-424.56,16.714,1670.058
0.092 sec,-326.106,256.566,1439.112
0.094 sec,-525.454,-148.23,1138.26
0.097 sec,-404.186,-353.678,642.574
0.099 sec,-130.54,77.836,349.408
0.101 sec,294.874,-27.694,334.036
0.104 sec,841.8,218.38,1174.25
0.106 sec,1425.326,218.38,1184.62
0.108 sec,1065.67,525.21,1581.852
0.111 sec,-852.414,11.102,972.706
0.113 sec,-851.438,-339.282,1528.782
0.115 sec,-902.434,31.598,1140.822
0.117 sec,-940.132,-111.874,849.73
0.12 sec,-558.15,-50.264,-223.626
0.122 sec,330.864,178.73,-216.184
0.125 sec,887.672,251.686,614.026
0.127 sec,915.61,470.31,1901.858
0.129 sec,55.144,486.048,1715.442
0.131 sec,-605.608,-64.66,1573.19
0.134 sec,-235.094,-55.022,1164.734
0.136 sec,-444.202,-284.992,1199.504
0.139 sec,-141.154,-383.568,717.36
0.141 sec,-262.788,-196.908,82.838
0.143 sec,605.608,-397.354,733.952
0.146 sec,1132.282,331.23,754.814
0.148 sec,1632.726,18.91,1480.226
0.15 sec,311.466,-200.446,1358.47
0.153 sec,-621.712,-97.234,1793.766
0.155 sec,-596.702,-84.546,1269.898
0.158 sec,-924.028,-237.9,1312.354
0.16 sec,-929.64,-310.978,243.878
0.163 sec,527.406,-187.026,136.518
0.165 sec,527.406,-391.62,642.086
0.167 sec,1275.876,-138.226,1212.68
0.17 sec,-276.574,26.962,1388.482
0.172 sec,-834.358,-252.54,1359.934
0.175 sec,-467.016,-191.052,1531.344
0.177 sec,-315.248,-159.088,472.506
0.18 sec,-420.412,-78.446,505.446
0.182 sec,139.568,-283.894,175.436
0.184 sec,676.856,289.628,589.992
0.186 sec,676.856,3.05,865.956
0.189 sec,1125.328,-127.368,1286.856
0.191 sec,-117.608,215.818,1535.248
0.193 sec,-884.622,7.442,970.388
0.196 sec,-722.362,-216.794,1192.55
0.198 sec,-687.47,30.866,1199.87
0.2 sec,-974.17,-540.948,195.566
0.203 sec,97.234,186.782,31.964
0.205 sec,789.95,99.186,461.038
0.207 sec,789.95,262.788,395.158
0.209 sec,1210.484,292.556,1369.572
0.211 sec,281.332,608.17,1926.624
0.214 sec,-715.286,477.63,1623.82
0.216 sec,-406.626,232.898,1127.524
0.219 sec,-474.336,-68.32,808.372
0.221 sec,-292.312,41.48,712.48
0.223 sec,-199.348,-177.144,302.56
0.226 sec,934.032,-81.74,480.924
0.228 sec,1464.976,277.184,1121.424
0.23 sec,1453.508,-266.204,1145.58
0.233 sec,-368.44,68.198,1699.704
0.235 sec,-721.264,137.616,1537.932
0.237 sec,-721.874,138.592,1270.752
0.24 sec,-892.552,-419.802,683.688
0.242 sec,-848.144,-116.266,360.51
0.245 sec,461.404,79.178,103.822
0.247 sec,1223.416,112.606,243.146
0.249 sec,911.096,133.468,859.49
0.251 sec,910.73,234.362,1857.816
0.254 sec,-705.038,2.196,1464.122
0.256 sec,-470.92,-236.924,1378.844
0.258 sec,-332.938,-73.566,1186.694
0.261 sec,-441.274,-226.554,662.582
0.263 sec,-339.77,-38.064,384.91
0.265 sec,-35.502,-49.898,97.356
0.268 sec,1120.326,-97.6,1244.278
0.27 sec,1495.11,245.952,1203.408
0.272 sec,1481.446,155.428,1727.642
0.275 sec,-485.194,-302.682,1266.116
0.277 sec,-552.05,-188.612,1461.316
0.28 sec,-774.578,-32.574,754.692
0.282 sec,-956.602,-422.364,647.454
0.285 sec,-34.77,-224.602,-86.864
0.287 sec,582.428,49.654,345.87
0.289 sec,1367.254,312.686,242.17
0.291 sec,268.766,436.272,1570.872
0.294 sec,-288.774,295.85,1640.778
0.296 sec,-697.718,-50.02,1716.418
0.299 sec,-353.556,101.382,968.07
0.301 sec,-490.318,-32.086,774.822
0.303 sec,-470.676,-141.398,568.642
0.306 sec,315.004,-321.47,96.014
0.308 sec,1082.994,-54.778,550.464
0.31 sec,1101.538,-578.158,1297.104
0.313 sec,1097.39,125.416,874.008
0.315 sec,-84.18,382.836,1585.512
0.317 sec,-506.3,410.286,1495.964
0.32 sec,-650.748,-67.344,1044.808
0.322 sec,-959.408,14.762,893.406
0.324 sec,-888.038,119.926,472.628
0.327 sec,301.584,190.442,-308.904
0.329 sec,951.844,326.838,467.626
0.331 sec,1318.21,589.504,811.056
0.333 sec,-100.528,72.956,1531.222
0.336 sec,-581.574,147.742,1910.154
0.338 sec,-517.89,16.714,1612.84
0.34 sec,-238.876,-123.83,948.184
0.343 sec,-478.85,-423.096,774.578
0.345 sec,-170.678,-436.394,533.872
0.348 sec,588.894,-219.478,-49.044
0.35 sec,993.08,469.09,822.402
0.352 sec,1478.396,336.354,1299.666
0.355 sec,536.312,287.066,1729.594
0.357 sec,-482.754,57.584,1007.964
0.359 sec,-707.112,308.05,1032.608
0.362 sec,-769.088,3.05,1019.188
0.364 sec,-978.928,-392.84,924.882
0.366 sec,-794.464,66.002,224.114
0.369 sec,518.744,-71.736,126.758
0.371 sec,1233.42,-13.42,486.658
0.373 sec,761.524,541.07,1034.316
0.375 sec,-351.848,381.982,1669.692
0.378 sec,-708.332,-12.688,1209.386
0.38 sec,-430.416,-221.43,916.464
0.383 sec,-464.576,21.594,916.83
0.385 sec,-415.532,-263.764,650.26
0.387 sec,-266.082,-290.238,151.768
0.39 sec,910.364,-204.96,330.62
0.392 sec,1592.832,-122.61,1613.816
0.395 sec,1266.726,35.746,1329.922
0.397 sec,-176.778,-248.026,1387.262
0.4 sec,-711.26,-34.404,1171.322
0.402 sec,-757.62,-183.122,1225.856
0.404 sec,-845.338,52.094,1113.25
0.407 sec,-679.54,-167.628,40.016
0.409 sec,-102.602,-166.652,114.436
0.411 sec,956.48,341.356,138.226
0.413 sec,1166.564,430.05,-100.528
0.416 sec,247.05,201.788,1495.598
0.418 sec,-417.362,-29.036,1149.972
0.42 sec,-598.288,21.106,1545.862
0.423 sec,-284.748,-90.89,1058.472
0.425 sec,-607.804,-90.89,677.832
0.427 sec,-337.208,-60.512,307.806
0.43 sec,540.46,472.384,-225.578
0.432 sec,930.25,-12.322,809.958
0.434 sec,1351.15,-520.94,1612.23
