maneuver xVelocity yVelocity xAcceleration yAcceleration class distPred diffSpeedPred timeGapPred accPred classPred distFollo diffSpeedFollo timeGapFollo accFollo classFollo distPredAdj diffSpeedPredAdj timeGapPredAdj accPredAdj classPredAdj distFolloAdj diffSpeedFolloAdj timeGapFolloAdj accFolloAdj classFolloAdj
4 36.34 -0.52 0.15 -0.29 1 63.42 -4.84 1.75 -0.07 1 164.63 0 4.53 0 1 17.27 6.94 0.48 0.22 1 164.63 0 4.53 0 1
4 23.87 -0.16 0.07 -0.38 1 10.33 -1.07 0.43 -0.25 0 294.99 0 12.36 0 1 7.17 10.26 0.3 0.24 1 111.15 12.8 3.03 0.11 1
4 35.31 -0.36 0.23 -0.26 1 65.2 -12.89 1.85 -0.05 0 82.24 -10.63 3.33 0 0 136.41 3.18 3.86 0.19 1 45.72 -1.31 1.34 0.03 1
4 32.32 -0.61 0.05 -0.29 1 81.94 -4.56 2.54 0.05 1 206.34 -2.8 6.99 0.17 1 16.38 7.94 0.51 -0.39 1 228.13 0 7.06 0 1
4 31.14 -0.26 -0.54 -0.43 1 36 -6.81 1.16 -0.14 1 98.74 -2.44 3.44 -0.38 1 -1.7 3.76 -0.05 -0.14 1 138.25 0 4.44 0 1
4 30.42 -0.4 0.04 -0.15 1 40.87 -4.25 1.34 0.04 1 147.7 0 4.86 0 1 261.96 0 8.61 0 1 147.7 0 4.86 0 1
4 36.86 -0.43 0.11 -0.11 1 69.22 -12.24 1.88 0.03 0 121.71 0 3.3 0 1 23.24 2.48 0.63 0.13 1 121.71 0 3.3 0 1
4 34.02 -0.52 0.19 -0.28 1 52.31 -6.17 1.54 -0.03 1 222.56 0.29 6.49 -0.02 1 33.28 1.26 0.98 0.65 1 249.46 0 7.33 0 1
4 24.6 -0.36 -0.04 -0.13 1 22.67 -1.37 0.92 -0.07 1 22.14 -0.45 0.92 -0.09 1 10.51 -0.02 0.43 -0.86 1 10.42 -0.06 0.42 -0.82 1
4 26.29 -0.48 0.66 -0.47 1 17.33 -1.83 0.66 -0.11 1 133.74 -2.57 5.64 -0.15 0 -0.92 7.63 -0.03 -1.12 1 88.25 10.89 2.37 -0.33 1
