UGreflim	OGreflim	UGrefine	OGrefline
15.4	-2.6	16.3	-2.3
15.3	4.8	14.7	4.6
18.5	0.6	16.7	4.5
19.0	1.6	18.4	0.0
14.0	6.7	24.3	8.4
12.9	-0.6	14.9	-0.9
8.5	5.6	15.0	4.2
-26.4	10.2	10.6	3.4
-24.5	8.2	-7.1	1.1
-23.7	3.1	-10.0	-4.2
2.1	6.4	-8.9	-5.5
-5.4	6.5	-10.4	0.0
9.5	-3.3	9.8	-6.0
17.5	-8.6	19.3	-13.3
43.3	19.9	44.0	18.3
50.3	14.5	51.9	10.0
3.8	0.8	4.3	1.2
2.9	0.4	3.3	0.8
1.0	-0.9	0.0	0.9
0.0	0.9	0.0	0.9
62.7	32.4	59.3	29.6
50.0	36.7	29.9	28.7
4.8	27.6	29.8	29.6
-18.2	29.1	6.3	26.1
7.2	18.1	6.9	14.3
30.0	67.5	32.7	48.5
29.7	12.9	11.4	3.1
54.8	7.6	35.5	-0.9
23.6	23.0	17.7	22.8
-8.1	55.9	11.9	27.9
-11.6	16.1	-64.8	-3.5
-23.1	16.6	-38.2	2.9
48.3	72.7	-35.2	44.0
54.3	23.8	48.9	24.4
22.8	26.2	-33.6	6.0
30.0	65.8	1.3	45.0
35.2	68.4	-1.3	41.8
45.7	26.2	11.1	13.7
-55.0	-11.1	-87.0	-38.8
60.0	5.2	6.7	-42.7
-47.0	12.8	-64.4	-24.4
9.1	89.1	7.3	72.7
-58.0	-14.4	-79.0	-33.7
41.7	31.3	-35.9	-10.7
-45.0	107.2	-37.7	104.1
4.5	239.4	12.3	197.8
-16.1	12.3	-16.1	-36.6
-33.9	13.1	-32.6	-13.2
8.0	-1.7	9.5	-2.3
8.6	0.5	11.0	0.0
30.4	-13.3	32.9	-13.0
33.5	-8.2	36.1	-8.7
6.4	-18.9	10.3	-17.6
5.7	-17.6	7.0	-19.6
-6.2	-7.7	-6.7	-5.3
-6.4	-7.3	-8.0	-5.3
5.8	23.3	4.6	20.7
10.3	23.8	6.3	20.1
6.9	31.2	5.0	31.3
8.6	27.4	9.1	23.8
-5.3	21.4	-10.0	18.1
-5.3	27.2	-8.2	23.5
21.5	-10.9	7.7	-22.6
28.6	-12.4	10.3	-30.8
7.2	-3.7	-31.7	-27.3
-9.9	-14.6	-11.2	-13.0
4.3	9.4	0.4	-0.6
34.2	-1.2	24.3	-7.4
34.1	-11.0	33.3	-13.3
-11.1	9.6	-12.9	6.9
-5.7	6.3	-20.4	-6.3
9.1	-5.1	-14.8	-16.7
14.5	-5.2	7.7	-8.8
-12.5	-0.4	-29.5	-11.8
-37.5	-2.2	-41.5	-4.3
-3.7	4.1	-4.0	3.3
0.2	-19.0	2.6	-23.8
5.5	-1.3	5.5	-2.5
3.0	-14.8	7.6	-30.7
7.5	-4.1	7.0	-6.2
2.0	-6.0	6.8	-24.7
-10.0	11.2	-8.9	6.9
1.2	0.9	4.3	-12.7
-3.9	12.1	-2.1	8.5
8.8	24.5	8.8	20.5
-6.9	-4.2	-6.1	-3.7
1.1	-7.7	0.5	-7.2
-9.4	-4.9	-7.1	-3.9
-3.2	-6.9	-3.3	-6.7
0.7	-2.1	0.0	-1.4
0.7	-2.1	0.0	-1.4
6.8	-2.6	8.0	-4.6
-7.4	4.1	-15.8	-2.1
47.3	89.0	43.3	74.2
46.7	168.8	42.7	153.3
12.2	3.7	12.2	0.5
9.2	-9.6	10.3	-10.4
6.9	-8.3	11.6	-6.9
13.5	-4.9	12.3	-4.1
8.3	7.9	8.3	1.6
8.0	-1.4	8.6	-2.7
-46.8	-0.3	-22.0	1.9
-49.7	0.9	-28.2	2.6
48.6	-15.6	35.1	-24.7
31.4	-6.0	43.1	-12.7
-9.1	4.0	-8.6	0.0
-16.0	6.4	-6.4	-10.4
-61.0	30.4	-50.3	16.2
-64.7	1.7	-73.6	-13.7
